,PDB code,EC number,Class,Subclass,Subsubclass
532,1gsz,E.C.5.4.99.0,5,4,99
571,1h35,E.C.5.4.99.0,5,4,99
572,1h36,E.C.5.4.99.0,5,4,99
573,1h37,E.C.5.4.99.0,5,4,99
574,1h39,E.C.5.4.99.0,5,4,99
575,1h3a,E.C.5.4.99.0,5,4,99
576,1h3b,E.C.5.4.99.0,5,4,99
577,1h3c,E.C.5.4.99.0,5,4,99
1133,1o6h,E.C.5.4.99.0,5,4,99
1135,1o6q,E.C.5.4.99.0,5,4,99
1136,1o6r,E.C.5.4.99.0,5,4,99
1137,1o79,E.C.5.4.99.0,5,4,99
1472,1sqc,E.C.5.4.99.0,5,4,99
1717,1w6j,E.C.5.4.99.7,5,4,99
2205,2cht,E.C.5.4.99.5,5,4,99
2233,2csm,E.C.5.4.99.5,5,4,99
2446,2gtv,E.C.5.4.99.5,5,4,99
2911,2pwd,E.C.5.4.99.11,5,4,99
2912,2pwg,E.C.5.4.99.11,5,4,99
4393,3gbe,E.C.5.4.99.11,5,4,99
