,Modeltype,Scoretype,Datatype,Mean absolute error (mae),Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),Spearman correlation coefficient,add. information,System
0,linearRegression,delta G,all,80427819.66028163,9.056085767381974e+16,289986597.0036545,-0.041661,[-0.491 ~ 0.425],-8.199986281283613e+16,0.433444,X-GRADE,004-AR
1,linearRegression,Affinity Data Value,all,245227790922.79663,8.41913291422096e+23,884181332111.6614,-0.041661,[-0.491 ~ 0.425],-7.623246529485228e+23,0.517052,X-GRADE,004-AR
2,linearRegression,pKd pKi pIC50,all,11836151.353557382,1961317917086504.8,42675794.47983772,-0.041661,[-0.491 ~ 0.425],-1775908535591802.0,-0.030803,X-GRADE,004-AR
3,Ridge,delta G,all,10.563371792422904,116.60928540337486,2.481692509328824,0.429202,[-0.037 ~ 0.742],-104.585853,0.303631,X-GRADE,004-AR
4,Ridge,Affinity Data Value,all,16028.533623672378,444893292.0408907,20529.75070865149,0.570524,[0.151 ~ 0.816],-402836167.415071,0.539054,X-GRADE,004-AR
5,Ridge,pKd pKi pIC50,all,15.64787094835898,246.43611515590632,0.40508578162086084,-0.366159,[-0.706 ~ 0.111],-222.139755,-0.061606,X-GRADE,004-AR
6,Lasso,delta G,all,11.012358098055232,124.08888703982349,2.0517235768576807,0.579063,[0.164 ~ 0.82],-111.358385,0.321232,X-GRADE,004-AR
7,Lasso,Affinity Data Value,all,23005.311929222662,736437492.5580374,14395.101703371776,0.854004,[0.65 ~ 0.943],-666819802.954282,0.616062,X-GRADE,004-AR
8,Lasso,pKd pKi pIC50,all,15.780993569944672,250.6819869213351,0.3873433428523784,-0.476331,[-0.767 ~ -0.022],-225.984252,-0.341034,X-GRADE,004-AR
9,ElasticNet,delta G,all,11.36783155091179,133.02407206673996,2.3306106291673006,0.559287,[0.135 ~ 0.81],-119.4489,0.312431,X-GRADE,004-AR
10,ElasticNet,Affinity Data Value,all,31031.989080899966,1058211916.1557173,9759.278757567141,0.77774,[0.496 ~ 0.911],-958175906.125519,0.514852,X-GRADE,004-AR
11,ElasticNet,pKd pKi pIC50,all,15.867491009329184,253.52827498313042,0.418022077464713,-0.537056,[-0.799 ~ -0.104],-228.561472,-0.446645,X-GRADE,004-AR
12,SVR,delta G,all,11.21216050783264,127.09420993463667,1.6189508482639496,0.688782,[0.336 ~ 0.872],-114.079606,0.609461,X-GRADE,004-AR
13,SVR,Affinity Data Value,all,333.7084672054645,111806.67226760877,21.772153886847658,0.651208,[0.274 ~ 0.855],-101236.245572,0.345435,X-GRADE,004-AR
14,SVR,pKd pKi pIC50,all,15.885335807457102,253.81543028511604,0.2749389230455792,-0.504513,[-0.782 ~ -0.059],-228.821481,-0.429043,X-GRADE,004-AR
15,DecisionTree,delta G,all,15.649524174356898,278.65116967380925,5.247881405548384,-0.462273,[-0.76 ~ -0.004],-251.309422,-0.27008,X-GRADE,004-AR
16,DecisionTree,Affinity Data Value,all,19490.830714285716,3506032915.676121,55911.94018366775,0.039335,[-0.427 ~ 0.489],-3174596899.77385,0.212828,X-GRADE,004-AR
17,DecisionTree,pKd pKi pIC50,all,15.86,253.10750000000002,0.5812447059227854,-0.102853,[-0.536 ~ 0.374],-228.180474,-0.096332,X-GRADE,004-AR
18,RandomForest,delta G,all,14.126098103760812,201.36338101868822,2.041309785272893,0.805187,[0.549 ~ 0.923],-181.327885,0.631464,X-GRADE,004-AR
19,RandomForest,Affinity Data Value,all,37923.56683857143,1650627651.0219064,14574.507598019787,-0.471926,[-0.765 ~ -0.017],-1494588769.640574,-0.286029,X-GRADE,004-AR
20,RandomForest,pKd pKi pIC50,all,16.440057142857142,272.2774176657143,0.45163531567775744,-0.73064,[-0.891 ~ -0.409],-245.538201,-0.602861,X-GRADE,004-AR
21,XGBoost,delta G,all,8.780493812561035,90.0905338779042,3.7320895195007324,0.259994,[-0.226 ~ 0.642],-80.574,-0.182618,X-GRADE,004-AR
22,XGBoost,Affinity Data Value,all,53774.16390555246,3956941018.3141966,41987.97265625,-0.090481,[-0.527 ~ 0.384],-3582879280.343742,-0.158416,X-GRADE,004-AR
23,XGBoost,pKd pKi pIC50,all,15.429035723549978,239.66676151704698,0.7617624402046204,0.045636,[-0.422 ~ 0.494],-216.01033,0.092409,X-GRADE,004-AR
24,linearRegression,delta G,ki,36447063.98252599,1.859742782215026e+16,131411716.984106,0.041661,[-0.425 ~ 0.491],-1.6839356088925404e+16,0.09461,X-GRADE,004-AR
25,linearRegression,Affinity Data Value,ki,161721909670.96536,3.6615542146653175e+23,583096430094.7362,0.041661,[-0.425 ~ 0.491],-3.3154162956996426e+23,0.40044,X-GRADE,004-AR
26,linearRegression,pKd pKi pIC50,ki,30370.01374595382,12900266258.48845,109443.67930120057,-0.041662,[-0.491 ~ 0.425],-11680764631.940498,-0.059406,X-GRADE,004-AR
27,Ridge,delta G,ki,11.789954698404587,148.88751264263757,3.2383915406220387,0.250805,[-0.235 ~ 0.636],-133.812721,0.173817,X-GRADE,004-AR
28,Ridge,Affinity Data Value,ki,55669.9377763644,3780688778.669254,39735.451421421225,0.74146,[0.428 ~ 0.896],-3423288703.989048,0.59406,X-GRADE,004-AR
29,Ridge,pKd pKi pIC50,ki,15.880901423365572,253.98288008303368,0.5919075725065477,-0.261312,[-0.643 ~ 0.225],-228.973102,-0.182618,X-GRADE,004-AR
30,Lasso,delta G,ki,13.06196584438112,176.6509553347161,2.6836810597307506,0.402536,[-0.069 ~ 0.727],-158.9516,0.248625,X-GRADE,004-AR
