,Modeltype,Scoretype,Datatype,Mean absolute error (mae),Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),Featuretype,Selection_size,Selection_method
0,linearRegression,delta G,all,4672.746832131749,22780565.49905135,2.124156871535352,0.084888,[-0.013 ~ 0.181],-23.072059,final,size5,f regression 
1,Ridge,delta G,all,4672.727912954828,22780430.24611905,1.8627869505432348,0.085045,[-0.013 ~ 0.181],-23.071916,final,size5,f regression 
2,Lasso,delta G,all,4672.710137958702,22780321.396194573,1.5042014609796877,0.085339,[-0.012 ~ 0.181],-23.071801,final,size5,f regression 
3,ElasticNet,delta G,all,4672.673360796112,22780095.159303848,0.7745956503893704,0.086679,[-0.011 ~ 0.183],-23.071562,final,size5,f regression 
4,SVR,delta G,all,4672.79396015358,22781335.43949938,0.161589608973334,0.053542,[-0.044 ~ 0.15],-23.072873,final,size5,f regression 
5,DecisionTree,delta G,all,4672.999327157129,22784158.74352146,10.738663042413716,-0.036943,[-0.134 ~ 0.061],-23.075856,final,size5,f regression 
6,RandomForest,delta G,all,4673.087087833967,22784019.038880136,7.258304659967142,0.008882,[-0.089 ~ 0.106],-23.075708,final,size5,f regression 
7,XGBoost,delta G,all,4672.9915750110185,22782883.68259359,6.947717189788818,0.026906,[-0.071 ~ 0.124],-23.074509,final,size5,f regression 
8,linearRegression,delta G,all,4672.746832131759,22780565.49905143,2.1241568715738044,0.084888,[-0.013 ~ 0.181],-23.072059,GAP,size5,f regression 
9,Ridge,delta G,all,4672.727912954828,22780430.246119056,1.862786950543488,0.085045,[-0.013 ~ 0.181],-23.071916,GAP,size5,f regression 
10,Lasso,delta G,all,4672.781184378774,22781169.881794546,0.3697882429271695,0.087711,[-0.01 ~ 0.184],-23.072698,GAP,size5,f regression 
11,ElasticNet,delta G,all,4672.735156746882,22780716.154231954,0.5121843563201938,0.08711,[-0.011 ~ 0.183],-23.072218,GAP,size5,f regression 
12,SVR,delta G,all,4672.793960153581,22781335.43949938,0.1615896089733322,0.053542,[-0.044 ~ 0.15],-23.072873,GAP,size5,f regression 
13,DecisionTree,delta G,all,4672.970697783607,22784068.843163352,10.636517238234894,-0.045989,[-0.143 ~ 0.052],-23.075761,GAP,size5,f regression 
14,RandomForest,delta G,all,4672.992372106191,22783402.58178651,7.046386097766793,-0.010676,[-0.108 ~ 0.087],-23.075057,GAP,size5,f regression 
15,XGBoost,delta G,all,4672.991575011019,22782883.68259359,6.947717666625977,0.026906,[-0.071 ~ 0.124],-23.074509,GAP,size5,f regression 
16,linearRegression,delta G,all,4673.738025163641,22793172.597016573,4.052297121549372,-0.377997,[-0.459 ~ -0.291],-23.085381,slim,size5,f regression 
17,Ridge,delta G,all,4673.736085072455,22793147.014994983,4.040213958981432,-0.378192,[-0.459 ~ -0.291],-23.085354,slim,size5,f regression 
18,Lasso,delta G,all,4673.741991975414,22793204.21026805,4.043742904158754,-0.37811,[-0.459 ~ -0.291],-23.085414,slim,size5,f regression 
19,ElasticNet,delta G,all,4673.738197322837,22793157.205800008,4.025225892727303,-0.378396,[-0.459 ~ -0.292],-23.085365,slim,size5,f regression 
