,Modeltype,Scoretype,Datatype,Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),add. information,Time
0,linearRegression,delta G,all,32961672906276.758,5730947.378450924,0.083708,[-0.014 ~ 0.18],-34830360.783703,final,0.025002241134643555
1,linearRegression,Affinity Data Value,all,1.5581187350833893e+22,124605465787.46878,0.000403,[-0.097 ~ 0.098],-14669150414.812061,final,0.003685474395751953
2,linearRegression,pKd pKi pIC50,all,85496976885.53345,291885.0683190147,-0.079729,[-0.176 ~ 0.018],-18148636103.744392,final,0.0035448074340820312
3,Ridge,delta G,all,22781495.991682634,5.068028200557689,-0.520899,[-0.589 ~ -0.446],-23.073042,final,0.0034627914428710938
4,Ridge,Affinity Data Value,all,1081057794203.8364,67389.71355122013,0.225313,[0.131 ~ 0.316],-0.017779,final,0.0033991336822509766
5,Ridge,pKd pKi pIC50,all,3.0388994172715953,1.0601823938365513,0.615372,[0.551 ~ 0.673],0.354926,final,0.003486156463623047
6,Lasso,delta G,all,22784661.35019252,4.430729346808488,-0.601813,[-0.661 ~ -0.536],-23.076387,final,0.09862732887268066
7,Lasso,Affinity Data Value,all,1080703357057.0123,52640.252042671,0.265357,[0.172 ~ 0.354],-0.017445,final,0.0036792755126953125
8,Lasso,pKd pKi pIC50,all,2.915365774591256,0.9518988017671194,0.656148,[0.597 ~ 0.708],0.381149,final,0.003885030746459961
9,ElasticNet,delta G,all,22784976.60394295,4.371506165940434,-0.59397,[-0.654 ~ -0.527],-23.07672,final,0.0035104751586914062
10,ElasticNet,Affinity Data Value,all,1095562989228.2924,27150.11070983076,0.276079,[0.183 ~ 0.364],-0.031435,final,0.003937721252441406
11,ElasticNet,pKd pKi pIC50,all,2.928914276018042,0.9508322267987818,0.65284,[0.593 ~ 0.706],0.378273,final,0.003647327423095703
12,SVR,delta G,all,22789831.68984717,4.087611776944663,-0.564617,[-0.628 ~ -0.494],-23.081851,final,0.21722650527954102
13,SVR,Affinity Data Value,all,1131676933692.6262,43.05954823963361,0.279137,[0.187 ~ 0.367],-0.065435,final,0.2431952953338623
14,SVR,pKd pKi pIC50,all,2.940585627469199,1.0354783400103011,0.633396,[0.571 ~ 0.688],0.375795,final,0.20586705207824707
15,DecisionTree,delta G,all,22781655.2742882,10.017912479296575,-0.358226,[-0.44 ~ -0.27],-23.073211,final,0.003977298736572266
16,DecisionTree,Affinity Data Value,all,1087011197652.2346,149772.96835351616,0.160835,[0.064 ~ 0.254],-0.023384,final,0.004785299301147461
17,DecisionTree,pKd pKi pIC50,all,4.243205614035087,1.8281683800271227,0.483242,[0.405 ~ 0.555],0.099285,final,0.0040476322174072266
18,RandomForest,delta G,all,22786477.555409033,5.543876948995071,-0.658578,[-0.711 ~ -0.599],-23.078306,final,0.11410236358642578
19,RandomForest,Affinity Data Value,all,1066957916059.934,97336.43751714715,0.240254,[0.146 ~ 0.33],-0.004504,final,0.0678107738494873
20,RandomForest,pKd pKi pIC50,all,2.6125207959649113,1.0663305362780704,0.699609,[0.646 ~ 0.746],0.445434,final,0.07314133644104004
21,XGBoost,delta G,all,22789229.72194814,7.69481897354126,-0.595116,[-0.655 ~ -0.528],-23.081215,final,0.10994696617126465
22,XGBoost,Affinity Data Value,all,1044714041817.4504,100461.921875,0.354849,[0.266 ~ 0.437],0.016438,final,0.016475439071655273
