,Modeltype,Scoretype,Datatype,Mean absolute error (mae),Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),Spearman correlation coefficient,add. information,Classes,Set,Set size
0,linearRegression,pKd pKi pIC50,all,4010271.3100536303,5741317521516112.0,75665286.20303583,-0.013344,[-0.1 ~ 0.074],0.000178,0.51469,X-GRADE class1 test,1,test,357
1,Ridge,pKd pKi pIC50,all,1922107.2585037246,1318912362027813.5,36265934.23507467,-0.013344,[-0.1 ~ 0.074],0.000178,0.521839,X-GRADE class1 test,1,test,357
2,Lasso,pKd pKi pIC50,all,1584214.8286872809,895974627697792.4,29890883.106857207,-0.013345,[-0.1 ~ 0.074],0.000178,0.539473,X-GRADE class1 test,1,test,357
3,ElasticNet,pKd pKi pIC50,all,2047851.9268739945,1497148259689553.5,38638770.22998478,-0.013345,[-0.1 ~ 0.074],0.000178,0.532176,X-GRADE class1 test,1,test,357
4,SVR,pKd pKi pIC50,all,1.0587012964352915,1.8261255504252878,1.1250368048727446,0.579701,[0.519 ~ 0.635],0.336054,0.579166,X-GRADE class1 test,1,test,357
5,DecisionTree,pKd pKi pIC50,all,1.4867787114845938,3.5440929971988795,1.6921401041626523,0.364741,[0.287 ~ 0.438],0.133036,0.364573,X-GRADE class1 test,1,test,357
6,RandomForest,pKd pKi pIC50,all,1.0480190476190478,1.7799760348459388,1.1133679936931813,0.591727,[0.532 ~ 0.646],0.350141,0.595625,X-GRADE class1 test,1,test,357
7,XGBoost,pKd pKi pIC50,all,1.1346755228389878,2.046238855982564,1.269426941871643,0.546998,[0.483 ~ 0.605],0.299207,0.553458,X-GRADE class1 test,1,test,357
8,linearRegression,pKd pKi pIC50,ki,3741802.8030458754,4998341253077721.0,70599859.64240813,0.013345,[-0.074 ~ 0.1],0.000178,0.514654,X-GRADE class1 test,1,test,357
9,Ridge,pKd pKi pIC50,ki,1922107.258506965,1318912362032261.5,36265934.23513583,-0.013344,[-0.1 ~ 0.074],0.000178,0.521839,X-GRADE class1 test,1,test,357
