,Modeltype,Scoretype,Datatype,Mean absolute error (mae),Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),add. information,Time
0,linearRegression,delta G,all,4674.720684057346,22806921.673813235,5.831940373706058,-0.6632189999999999,[-0.715 ~ -0.605],-23.099909,GAP RFECV Ridge,0.002823543548583984
1,linearRegression,delta G,ki,4674.720684057809,22806921.673818342,5.831940374487957,-0.6632189999999999,[-0.715 ~ -0.605],-23.099909,GAP RFECV Ridge,0.002890324592590332
2,linearRegression,delta G,kd,4674.7206840588115,22806921.673827946,5.83194037485667,-0.6632189999999999,[-0.715 ~ -0.605],-23.099909,GAP RFECV Ridge,0.0028439998626708985
3,linearRegression,Affinity Data Value,all,292249.65361471655,1095719100238.7201,74259.96127821652,0.187619,[0.092 ~ 0.28],-0.031582,GAP RFECV Ridge,0.0029104471206665037
4,linearRegression,Affinity Data Value,ki,292249.6537064814,1095719099482.1957,74259.9613624328,0.187619,[0.092 ~ 0.28],-0.031582,GAP RFECV Ridge,0.0028522491455078127
5,linearRegression,Affinity Data Value,kd,292249.65370151907,1095719100142.1842,74259.96162843102,0.187619,[0.092 ~ 0.28],-0.031582,GAP RFECV Ridge,0.0029553651809692385
6,linearRegression,pKd pKi pIC50,all,1.3228377731858387,2.6587586031372745,1.2239974206976698,0.6715299999999998,[0.614 ~ 0.722],0.435619,GAP RFECV Ridge,0.002841496467590332
7,linearRegression,pKd pKi pIC50,ki,1.3228377731701375,2.658758603117594,1.223997420629153,0.6715299999999998,[0.614 ~ 0.722],0.435619,GAP RFECV Ridge,0.0030279159545898438
8,linearRegression,pKd pKi pIC50,kd,1.3228377731568652,2.6587586030832133,1.2239974206204376,0.6715299999999998,[0.614 ~ 0.722],0.435619,GAP RFECV Ridge,0.0028227090835571287
9,Ridge,delta G,all,4674.69118547266,22806628.080824602,5.751683400103008,-0.670966,[-0.721 ~ -0.614],-23.099599000000005,GAP RFECV Ridge,0.002939295768737793
10,Ridge,delta G,ki,4674.691185472659,22806628.080824584,5.751683400099698,-0.670966,[-0.721 ~ -0.614],-23.099599000000005,GAP RFECV Ridge,0.0029457569122314452
11,Ridge,delta G,kd,4674.6911854726595,22806628.08082459,5.751683400099535,-0.670966,[-0.721 ~ -0.614],-23.099599000000005,GAP RFECV Ridge,0.0031986236572265625
12,Ridge,Affinity Data Value,all,292372.9326978991,1090873225905.3552,86153.93876272257,0.19534000000000004,[0.1 ~ 0.287],-0.027019999999999995,GAP RFECV Ridge,0.0030297756195068358
13,Ridge,Affinity Data Value,ki,292372.9326978973,1090873225905.3635,86153.93876271597,0.19534000000000004,[0.1 ~ 0.287],-0.027019999999999995,GAP RFECV Ridge,0.003105831146240234
14,Ridge,Affinity Data Value,kd,292372.9326978991,1090873225905.3584,86153.93876271047,0.19534000000000004,[0.1 ~ 0.287],-0.027019999999999995,GAP RFECV Ridge,0.004203510284423828
15,Ridge,pKd pKi pIC50,all,1.329505828466153,2.631686244920333,1.190230064086962,0.6804449999999999,[0.624 ~ 0.73],0.44136600000000004,GAP RFECV Ridge,0.003114199638366699
16,Ridge,pKd pKi pIC50,ki,1.3295058284662011,2.631686244920384,1.1902300640867929,0.6804449999999999,[0.624 ~ 0.73],0.44136600000000004,GAP RFECV Ridge,0.0032367944717407227
17,Ridge,pKd pKi pIC50,kd,1.3295058284660457,2.6316862449198046,1.1902300640874202,0.6804449999999999,[0.624 ~ 0.73],0.44136600000000004,GAP RFECV Ridge,0.003037381172180176
18,Lasso,delta G,all,4674.675456202497,22806425.16333219,5.645102716351034,-0.6786692000000001,[-0.73 ~ -0.624],-23.099384800000003,GAP RFECV Ridge,0.003080010414123535
