,Modeltype,Scoretype,Datatype,Mean absolute error (mae),Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),Spearman correlation coefficient,add. information,System
0,linearRegression,delta G,all,5002833.013610515,350396564000288.2,18037966.86888834,0.041661,[-0.425 ~ 0.491],0.001736,0.030803,X-GRADE,004-AR
1,linearRegression,Affinity Data Value,all,1273902284551.3413,2.27195748876864e+25,4593119632117.481,-0.041661,[-0.491 ~ 0.425],0.001736,0.308031,X-GRADE,004-AR
2,linearRegression,pKd pKi pIC50,all,1344820.6885677206,25319053819022.55,4848771.931033597,0.041661,[-0.425 ~ 0.491],0.001736,-0.154015,X-GRADE,004-AR
3,Ridge,delta G,all,1.1779989281447776,1.7626967633775164,0.5546258979305302,0.362704,[-0.115 ~ 0.704],0.131554,0.061606,X-GRADE,004-AR
4,Ridge,Affinity Data Value,all,124518.66793109318,25445448719.2959,138193.12958994586,0.062041,[-0.409 ~ 0.507],0.003849,0.308031,X-GRADE,004-AR
5,Ridge,pKd pKi pIC50,all,15.653678127661621,246.61825446700047,0.40697596487181986,-0.363091,[-0.705 ~ 0.115],0.131835,-0.061606,X-GRADE,004-AR
6,Lasso,delta G,all,1.076085661208395,1.5043883995631098,0.50844496557753,0.414932,[-0.054 ~ 0.734],0.172169,0.226623,X-GRADE,004-AR
7,Lasso,Affinity Data Value,all,61265.76358416941,8836430533.7505,80736.45501941108,0.533472,[0.099 ~ 0.797],0.284592,0.382839,X-GRADE,004-AR
8,Lasso,pKd pKi pIC50,all,15.835345948741502,252.49682912303027,0.41421318007721186,-0.531442,[-0.796 ~ -0.096],0.282431,-0.479648,X-GRADE,004-AR
9,ElasticNet,delta G,all,0.877830730597781,1.0993853233915547,0.5727415166469263,0.540362,[0.108 ~ 0.801],0.291991,0.440044,X-GRADE,004-AR
10,ElasticNet,Affinity Data Value,all,143705.92409222145,21272678329.872444,24926.23696933726,0.602782,[0.199 ~ 0.832],0.363346,0.512652,X-GRADE,004-AR
11,ElasticNet,pKd pKi pIC50,all,15.874080774241122,253.74568492590103,0.42138589724547154,-0.538885,[-0.8 ~ -0.106],0.290397,-0.446645,X-GRADE,004-AR
12,SVR,delta G,all,0.8958617478989203,1.12292632893881,0.40281143770041317,0.514267,[0.072 ~ 0.787],0.26447,0.332233,X-GRADE,004-AR
13,SVR,Affinity Data Value,all,378.46996886738515,143991.09730199556,28.07155013943268,0.636198,[0.25 ~ 0.848],0.404748,0.332233,X-GRADE,004-AR
14,SVR,pKd pKi pIC50,all,15.888484009620345,253.91206368568945,0.2746741413645203,-0.499367,[-0.78 ~ -0.052],0.249367,-0.402641,X-GRADE,004-AR
15,DecisionTree,delta G,all,1.1107142857142858,1.927592857142858,1.1862571906837824,0.475132,[0.021 ~ 0.767],0.22575,0.177586,X-GRADE,004-AR
16,DecisionTree,Affinity Data Value,all,153.7435714285714,37743.82807857143,118.8558166649914,0.084332,[-0.39 ~ 0.523],0.007112,-0.286335,X-GRADE,004-AR
17,DecisionTree,pKd pKi pIC50,all,15.805714285714286,251.7373714285714,0.5578608011586652,-0.427419,[-0.741 ~ 0.039],0.182687,-0.25097,X-GRADE,004-AR
18,RandomForest,delta G,all,0.5665928571428568,0.7541040064285701,0.5282098205645328,0.570447,[0.151 ~ 0.816],0.325409,0.50165,X-GRADE,004-AR
19,RandomForest,Affinity Data Value,all,56845.246443357144,3987080871.129532,27490.327889625092,0.33404,[-0.147 ~ 0.688],0.111583,0.235424,X-GRADE,004-AR
