,Modeltype,Scoretype,Datatype,Mean absolute error (mae),Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),add. information
0,linearRegression,delta G,all,4672.746832131743,22780565.499051277,2.1241568716248698,0.084888,[-0.013 ~ 0.181],-23.072059,final size5 f regression
1,Ridge,delta G,all,4672.727912954828,22780430.246119052,1.8627869505438885,0.085045,[-0.013 ~ 0.181],-23.071916,final size5 f regression
2,Lasso,delta G,all,4672.68906695281,22780250.93069156,0.7200231501536812,0.086771,[-0.011 ~ 0.183],-23.071727,final size5 f regression
3,ElasticNet,delta G,all,4672.735156746882,22780716.154231954,0.5121843563201538,0.08711,[-0.011 ~ 0.183],-23.072218,final size5 f regression
4,SVR,delta G,all,4672.793960153581,22781335.43949938,0.16158960897333663,0.053542,[-0.044 ~ 0.15],-23.072873,final size5 f regression
5,DecisionTree,delta G,all,4673.071296141093,22784939.687341403,10.672604571503614,-0.042456,[-0.14 ~ 0.055],-23.076681,final size5 f regression
6,RandomForest,delta G,all,4672.978882839406,22782988.47854481,7.349407232446898,0.010212,[-0.088 ~ 0.108],-23.074619,final size5 f regression
7,XGBoost,delta G,all,4672.991575011019,22782883.68259359,6.947717189788818,0.026906,[-0.071 ~ 0.124],-23.074509,final size5 f regression
8,linearRegression,delta G,all,4672.7468321317565,22780565.499051392,2.1241568716419996,0.084888,[-0.013 ~ 0.181],-23.072059,GAP size5 f regression
9,Ridge,delta G,all,4672.727912954828,22780430.246119052,1.8627869505422454,0.085045,[-0.013 ~ 0.181],-23.071916,GAP size5 f regression
10,Lasso,delta G,all,4672.680414050934,22780164.624081597,0.7529906923815191,0.08672,[-0.011 ~ 0.183],-23.071635,GAP size5 f regression
11,ElasticNet,delta G,all,4672.732136705105,22780685.784784164,0.5251021346315031,0.08708,[-0.011 ~ 0.183],-23.072186,GAP size5 f regression
12,SVR,delta G,all,4672.793960153581,22781335.43949938,0.16158960897333816,0.053542,[-0.044 ~ 0.15],-23.072873,GAP size5 f regression
13,DecisionTree,delta G,all,4672.970697783606,22784068.843163356,10.636517238234894,-0.045989,[-0.143 ~ 0.052],-23.075761,GAP size5 f regression
14,RandomForest,delta G,all,4673.027809730384,22783495.431457866,7.177472432733332,0.00672,[-0.091 ~ 0.104],-23.075155,GAP size5 f regression
15,XGBoost,delta G,all,4672.991575011019,22782883.68259359,6.947717189788818,0.026906,[-0.071 ~ 0.124],-23.074509,GAP size5 f regression
16,linearRegression,delta G,all,4673.738025163641,22793172.597016573,4.052297121549367,-0.377997,[-0.459 ~ -0.291],-23.085381,slim size5 f regression
17,Ridge,delta G,all,4673.736085072457,22793147.014995012,4.040213958987379,-0.378192,[-0.459 ~ -0.291],-23.085354,slim size5 f regression
18,Lasso,delta G,all,4673.741991975413,22793204.210268054,4.043742904158754,-0.37811,[-0.459 ~ -0.291],-23.085414,slim size5 f regression
19,ElasticNet,delta G,all,4673.738153367275,22793163.315830834,4.035513167794213,-0.378251,[-0.459 ~ -0.291],-23.085371,slim size5 f regression
20,SVR,delta G,all,4673.09813412855,22788137.9295419,4.458382770319927,-0.45226,[-0.527 ~ -0.371],-23.080061,slim size5 f regression
21,DecisionTree,delta G,all,4673.476105929129,22793110.07434831,10.54671176894519,-0.256878,[-0.346 ~ -0.163],-23.085315,slim size5 f regression
22,RandomForest,delta G,all,4673.544756317427,22792521.576829962,5.7972377500535766,-0.365145,[-0.447 ~ -0.277],-23.084693,slim size5 f regression
23,XGBoost,delta G,all,4673.132582157519,22788357.703004826,7.644017696380615,-0.254318,[-0.343 ~ -0.161],-23.080293,slim size5 f regression
24,linearRegression,delta G,all,4672.748027902333,22780567.691701237,2.124621920474628,0.087043,[-0.011 ~ 0.183],-23.072061,final size5 r regression
25,Ridge,delta G,all,4672.731164035667,22780451.698999222,1.8630205538755384,0.087498,[-0.01 ~ 0.184],-23.071939,final size5 r regression
26,Lasso,delta G,all,4672.718269355387,22780542.221412636,0.6088144844975104,0.086978,[-0.011 ~ 0.183],-23.072034,final size5 r regression
27,ElasticNet,delta G,all,4672.747673392054,22780840.14162174,0.4698842375311959,0.087235,[-0.01 ~ 0.183],-23.072349,final size5 r regression
28,SVR,delta G,all,4672.697482294896,22780435.37952318,0.22482803257109335,0.034942,[-0.063 ~ 0.132],-23.071922,final size5 r regression
29,DecisionTree,delta G,all,4673.111848615826,22784896.837057013,10.81244214242841,-0.021711,[-0.119 ~ 0.076],-23.076636,final size5 r regression
30,RandomForest,delta G,all,4673.121685538558,22784115.51988862,6.83814711000715,0.026035,[-0.072 ~ 0.123],-23.07581,final size5 r regression
31,XGBoost,delta G,all,4673.065208963746,22783844.209426165,6.900406837463379,0.006756,[-0.091 ~ 0.104],-23.075524,final size5 r regression
32,linearRegression,delta G,all,4672.748027902333,22780567.691701237,2.1246219204746133,0.087043,[-0.011 ~ 0.183],-23.072061,GAP size5 r regression
33,Ridge,delta G,all,4672.731164035666,22780451.69899923,1.8630205538774403,0.087498,[-0.01 ~ 0.184],-23.071939,GAP size5 r regression
34,Lasso,delta G,all,4672.798767743645,22781345.32120542,0.30331298291948455,0.088027,[-0.01 ~ 0.184],-23.072883,GAP size5 r regression
35,ElasticNet,delta G,all,4672.7506635264945,22780870.096358187,0.45778971774864585,0.08727,[-0.01 ~ 0.183],-23.072381,GAP size5 r regression
36,SVR,delta G,all,4672.698048277291,22780440.642565932,0.22495357885806483,0.034983,[-0.063 ~ 0.132],-23.071927,GAP size5 r regression
37,DecisionTree,delta G,all,4672.958768844315,22783560.16894198,10.938175906136617,-0.025751,[-0.123 ~ 0.072],-23.075224,GAP size5 r regression
38,RandomForest,delta G,all,4673.031604436795,22783250.86578312,6.723419187280052,0.028099,[-0.07 ~ 0.125],-23.074897,GAP size5 r regression
39,XGBoost,delta G,all,4673.065208963745,22783844.209426165,6.900406837463379,0.006756,[-0.091 ~ 0.104],-23.075524,GAP size5 r regression
40,linearRegression,delta G,all,4672.303267349301,22777950.084768508,2.003951983257598,-0.302494,[-0.389 ~ -0.211],-23.069295,slim size5 r regression
41,Ridge,delta G,all,4672.300542594037,22777917.888657026,1.9929719353320487,-0.302435,[-0.389 ~ -0.211],-23.069261,slim size5 r regression
42,Lasso,delta G,all,4672.304594281893,22777958.788483407,1.9984465762969734,-0.302382,[-0.389 ~ -0.211],-23.069305,slim size5 r regression
43,ElasticNet,delta G,all,4672.30147176303,22777920.44256365,1.983652308133426,-0.302277,[-0.388 ~ -0.211],-23.069264,slim size5 r regression
44,SVR,delta G,all,4672.158728168366,22777798.797412,2.9640570260065537,-0.411656,[-0.49 ~ -0.327],-23.069136,slim size5 r regression
45,DecisionTree,delta G,all,4672.1171125801575,22779545.412163325,11.239929463544573,-0.200833,[-0.293 ~ -0.105],-23.070981,slim size5 r regression
46,RandomForest,delta G,all,4672.203198519259,22778656.173480652,4.630542245231476,-0.311142,[-0.397 ~ -0.22],-23.070042,slim size5 r regression
