,Modeltype,Scoretype,Datatype,Mean absolute error (mae),Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),add. information,Time
0,linearRegression,pKd pKi pIC50,all,516399.87806480646,76000125634812.66,8702497.08102484,-0.079731,[-0.176 ~ 0.018],0.006357,X-GRADE_core,0.0016642570495605468
1,linearRegression,pKd pKi pIC50,all,248070188762.90094,4.582443775619742e+26,21405205885419.785,0.008249000000000001,[-0.006 ~ 0.022],6.800000000000001e-05,X-GRADE_general,0.012044048309326172
2,linearRegression,pKd pKi pIC50,all,1.4278063412955109,3.052924812640103,1.1354231891623585,0.614815,[0.55 ~ 0.672],0.37799799999999995,GRADE_core,0.0019893646240234375
3,linearRegression,pKd pKi pIC50,all,1.4319178415396252,4.7874520513901135,1.8970841058535775,0.31099599999999994,[0.298 ~ 0.323],0.096719,GRADE_general,0.004869294166564941
4,linearRegression,pKd pKi pIC50,ki,605662.2047954574,104545121365699.89,10206776.828636372,-0.079731,[-0.176 ~ 0.018],0.006357,X-GRADE_core,0.0016289234161376953
5,linearRegression,pKd pKi pIC50,ki,1130649448703.6208,1.5396005184675833e+28,124075488383502.0,0.009084999999999998,[-0.005 ~ 0.023],8.299999999999998e-05,X-GRADE_general,0.011713647842407226
6,linearRegression,pKd pKi pIC50,ki,1.4278063412955098,3.052924812640101,1.1354231891623578,0.614815,[0.55 ~ 0.672],0.37799799999999995,GRADE_core,0.001539468765258789
7,linearRegression,pKd pKi pIC50,ki,1.4319178415396252,4.787452051390118,1.8970841058535792,0.31099599999999994,[0.298 ~ 0.323],0.096719,GRADE_general,0.004852414131164551
8,linearRegression,pKd pKi pIC50,kd,303412.5541942274,26236479293394.19,5113161.382010014,-0.079731,[-0.176 ~ 0.018],0.006357,X-GRADE_core,0.0016468048095703125
9,linearRegression,pKd pKi pIC50,kd,138516778325.303,1.5044431741013592e+26,12264792319892.404,0.00501,[-0.009 ~ 0.019],2.5000000000000005e-05,X-GRADE_general,0.011368155479431152
10,linearRegression,pKd pKi pIC50,kd,1.4278063412955109,3.052924812640103,1.1354231891623578,0.614815,[0.55 ~ 0.672],0.37799799999999995,GRADE_core,0.0015304088592529297
11,linearRegression,pKd pKi pIC50,kd,1.4319178415396252,4.78745205139012,1.8970841058535801,0.31099599999999994,[0.298 ~ 0.323],0.096719,GRADE_general,0.004833698272705078
12,Ridge,pKd pKi pIC50,all,1.3761918917911655,2.9886423249814977,1.052552399204247,0.6242289999999999,[0.561 ~ 0.68],0.389662,X-GRADE_core,0.0016165971755981445
13,Ridge,pKd pKi pIC50,all,159984.12544627851,120869617439075.22,10992909.250072224,0.008274000000000002,[-0.006 ~ 0.022],6.800000000000001e-05,X-GRADE_general,0.011246967315673827
14,Ridge,pKd pKi pIC50,all,1.425936537495399,3.046219785848392,1.1304343368367538,0.6160740000000001,[0.552 ~ 0.673],0.379547,GRADE_core,0.0025550365447998048
15,Ridge,pKd pKi pIC50,all,1.4281600695180752,4.741790249166237,1.8851054163237086,0.312773,[0.3 ~ 0.325],0.097827,GRADE_general,0.0048399209976196286
16,Ridge,pKd pKi pIC50,ki,1.3761918917920253,2.9886423249855762,1.0525523992015515,0.6242289999999999,[0.561 ~ 0.68],0.389662,X-GRADE_core,0.0020222187042236326
17,Ridge,pKd pKi pIC50,ki,159984.1254430898,120869617434256.25,10992909.249853088,0.008274000000000002,[-0.006 ~ 0.022],6.800000000000001e-05,X-GRADE_general,0.011196780204772949
18,Ridge,pKd pKi pIC50,ki,1.4259365374850859,3.0462197858075197,1.130434336862082,0.6160740000000001,[0.552 ~ 0.673],0.379547,GRADE_core,0.0019045352935791015
19,Ridge,pKd pKi pIC50,ki,1.428160069518702,4.741790249161523,1.8851054163047465,0.312773,[0.3 ~ 0.325],0.097827,GRADE_general,0.004846000671386718
20,Ridge,pKd pKi pIC50,kd,1.3761918917922877,2.9886423249855762,1.052552399201156,0.6242289999999999,[0.561 ~ 0.68],0.389662,X-GRADE_core,0.0015699386596679688
21,Ridge,pKd pKi pIC50,kd,159984.12545531886,120869617452740.9,10992909.250693655,0.008274000000000002,[-0.006 ~ 0.022],6.800000000000001e-05,X-GRADE_general,0.011276984214782714
22,Ridge,pKd pKi pIC50,kd,1.4259365374948907,3.0462197858394604,1.1304343368511043,0.6160740000000001,[0.552 ~ 0.673],0.379547,GRADE_core,0.001512622833251953
23,Ridge,pKd pKi pIC50,kd,1.428160069519009,4.741790249158532,1.885105416294762,0.312773,[0.3 ~ 0.325],0.097827,GRADE_general,0.0047981500625610355
24,Lasso,pKd pKi pIC50,all,1.3804844312682292,2.907608378309288,0.9555810401309923,0.655589,[0.596 ~ 0.708],0.4297969999999999,X-GRADE_core,0.0016480207443237305
25,Lasso,pKd pKi pIC50,all,168073.44282926904,133510446933664.72,11553449.75411443,0.008248000000000002,[-0.006 ~ 0.022],6.800000000000001e-05,X-GRADE_general,0.011296343803405762
26,Lasso,pKd pKi pIC50,all,1.4175494819230834,3.0163754054791236,1.1085532909183313,0.62183,[0.558 ~ 0.678],0.38667199999999996,GRADE_core,0.002000117301940918
27,Lasso,pKd pKi pIC50,all,1.4170314485877498,4.590432230269934,1.8416864175141243,0.317965,[0.305 ~ 0.33],0.101102,GRADE_general,0.004896998405456543
