,Modeltype,Scoretype,Datatype,Mean absolute error (mae),Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),add. information
0,linearRegression,delta G,all,1361013.6200229826,524310033393535.9,22857414.486781422,0.083708,[-0.014 ~ 0.18],-554034625.878558,GAP
1,linearRegression,Affinity Data Value,all,453020439.61610836,5.837248783424781e+19,7626750087.395569,-0.00041,[-0.098 ~ 0.097],-54955682.729707,GAP
2,linearRegression,pKd pKi pIC50,all,93574.9738874149,2495436639468.6343,1576921.0865523894,-0.079731,[-0.176 ~ 0.018],-529711963414.932,GAP
3,Ridge,delta G,all,4672.555608444361,22784397.222641405,5.034237229581467,-0.535712,[-0.602 ~ -0.462],-23.076108,GAP
4,Ridge,Affinity Data Value,all,292485.44186733593,1080633855968.9717,69712.0470669672,0.229888,[0.135 ~ 0.32],-0.017379,GAP
5,Ridge,pKd pKi pIC50,all,1.3761918917904898,2.9886423249810976,1.0525523992052035,0.624229,[0.561 ~ 0.68],0.365594,GAP
6,Lasso,delta G,all,4672.807956904854,22786848.278039142,4.502975936356986,-0.610082,[-0.668 ~ -0.545],-23.078698,GAP
7,Lasso,Affinity Data Value,all,286705.11238192645,1078168373087.3992,56689.43969606146,0.267211,[0.174 ~ 0.356],-0.015058,GAP
8,Lasso,pKd pKi pIC50,all,1.3803817596764225,2.9058695287913476,0.9602368575416024,0.654982,[0.595 ~ 0.707],0.383165,GAP
9,ElasticNet,delta G,all,4672.829591422808,22786910.10630859,4.463669417634323,-0.599333,[-0.658 ~ -0.533],-23.078763,GAP
10,ElasticNet,Affinity Data Value,all,283287.62069363,1093432771016.6768,27804.74589736483,0.294547,[0.203 ~ 0.381],-0.029429,GAP
11,ElasticNet,pKd pKi pIC50,all,1.3881075270775298,2.936275451491734,0.9510048078789454,0.649663,[0.589 ~ 0.703],0.37671,GAP
12,linearRegression,delta G,ki,6.906134270616163e+23,1.3592986810677026e+50,1.1638424343575572e+25,-0.083708,[-0.18 ~ 0.014],-1.4363611024330735e+44,GAP
13,linearRegression,Affinity Data Value,ki,1.4916682852339986e+28,6.341461678542874e+58,2.513804076655765e+29,0.000403,[-0.097 ~ 0.098],-5.970267420837789e+46,GAP
14,linearRegression,pKd pKi pIC50,ki,2.3774926194514802e+23,1.610954279330684e+49,4.006621779223912e+24,0.079731,[-0.018 ~ 0.176],-3.4196089805720763e+48,GAP
15,Ridge,delta G,ki,1408538907.8131552,5.65431082087942e+20,23737040761.20312,0.083708,[-0.014 ~ 0.18],-597486942148595.5,GAP
16,Ridge,Affinity Data Value,ki,1989382939495.483,1.1279283297653249e+27,33525672038764.63,-0.000403,[-0.098 ~ 0.097],-1061905614445852.0,GAP
17,Ridge,pKd pKi pIC50,ki,271715985.7913858,2.1041429202788815e+19,4579039159.57411,-0.079731,[-0.176 ~ 0.018],-4.466511631591633e+18,GAP
18,Lasso,delta G,ki,4677.15691241917,22834924.578862656,51.76581598328817,-0.100274,[-0.196 ~ -0.003],-23.1295,GAP
19,Lasso,Affinity Data Value,ki,284193.54447104986,1090319938993.8131,63156.77910878261,0.178056,[0.082 ~ 0.271],-0.026499,GAP
20,Lasso,pKd pKi pIC50,ki,1.3208476137027945,2.625729091807473,1.1260285265038446,0.691338,[0.637 ~ 0.739],0.442631,GAP
21,ElasticNet,delta G,ki,1312644155.8284109,4.9106139226177103e+20,22120993675.344814,0.083708,[-0.014 ~ 0.18],-518901027842831.44,GAP
22,ElasticNet,Affinity Data Value,ki,1868235494869.9558,9.947362934553406e+26,31484059296184.562,-0.000403,[-0.098 ~ 0.097],-936509906735881.4,GAP
23,ElasticNet,pKd pKi pIC50,ki,153555607.38978264,6.720107381456625e+18,2587765069.777136,-0.079731,[-0.176 ~ 0.018],-1.426492349713706e+18,GAP
24,linearRegression,delta G,kd,40199004.349622406,4.599473968256929e+17,677004756.2016544,-0.083724,[-0.18 ~ 0.014],-486023093501.04504,GAP
25,linearRegression,Affinity Data Value,kd,37026073960620.664,3.889481901833208e+29,622557039473460.4,-0.000369,[-0.098 ~ 0.097],-3.66181304241339e+17,GAP
26,linearRegression,pKd pKi pIC50,kd,98352949.03143047,2.7276028053105055e+18,1648614420.1279829,0.079628,[-0.018 ~ 0.176],-5.789943990433233e+17,GAP
27,Ridge,delta G,kd,4670.641944610714,22764521.889800154,10.657495622819267,-0.152555,[-0.247 ~ -0.056],-23.055106,GAP
28,Ridge,Affinity Data Value,kd,307093.10648463503,1124405276309.1453,203810.2840082519,0.060594,[-0.037 ~ 0.157],-0.058589,GAP
29,Ridge,pKd pKi pIC50,kd,1.7415707152805016,21.172529944904607,4.2500092914241225,0.104389,[0.007 ~ 0.2],-3.494341,GAP
30,Lasso,delta G,kd,4670.926917802386,22767127.77159521,7.666356094686202,-0.211983,[-0.303 ~ -0.117],-23.05786,GAP
31,Lasso,Affinity Data Value,kd,283484.1247933774,1086300827536.375,44465.597129015434,0.244294,[0.15 ~ 0.334],-0.022715,GAP
32,Lasso,pKd pKi pIC50,kd,1.5971296172128033,8.03446347698068,2.254000554126258,0.195841,[0.1 ~ 0.288],-0.705494,GAP
33,ElasticNet,delta G,kd,4671.074864779678,22768539.031410545,6.829529931806946,-0.241063,[-0.331 ~ -0.147],-23.059351,GAP
34,ElasticNet,Affinity Data Value,kd,286935.0576802101,1094479968964.6781,36819.535073268955,0.191295,[0.095 ~ 0.284],-0.030415,GAP
35,ElasticNet,pKd pKi pIC50,kd,1.6238234193492604,9.721944221345193,2.57542661358718,0.160286,[0.064 ~ 0.254],-1.063699,GAP
36,linearRegression,delta G,all,1968202.0079694793,1098815060272080.0,33089977.7777835,0.083708,[-0.014 ~ 0.18],-1161109939.975407,final
37,linearRegression,Affinity Data Value,all,370573207.72477275,3.904515897733309e+19,6237618367.999114,-0.000411,[-0.098 ~ 0.097],-36759669.309538,final
38,linearRegression,pKd pKi pIC50,all,494061.4835401311,69567052699717.445,8326040.7583193565,-0.079731,[-0.176 ~ 0.018],-14767155171077.078,final
39,Ridge,delta G,all,4672.256968285111,22781495.99168297,5.068028200582657,-0.520899,[-0.589 ~ -0.446],-23.073042,final
40,Ridge,Affinity Data Value,all,292189.62489112106,1081057794203.7717,67389.71355127216,0.225313,[0.131 ~ 0.316],-0.017779,final
41,Ridge,pKd pKi pIC50,all,1.3902727595201283,3.0388994172744503,1.0601823938363606,0.615372,[0.551 ~ 0.673],0.354926,final
