,Modeltype,Scoretype,Datatype,Mean absolute error (mae),Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),Spearman correlation coefficient,add. information,Classes,Set,Set size
0,linearRegression,delta G,all,12992751238.814838,6.0265302761841925e+22,245145861281.00616,-0.00772,[-0.095 ~ 0.08],-791118627128781.5,0.425385,GAP,1,test,357
1,linearRegression,Affinity Data Value,all,245990982776.48648,2.160186509919857e+25,4641266821974.11,-0.012028,[-0.099 ~ 0.075],-272505117010862.9,0.3443,GAP,1,test,357
2,linearRegression,pKd pKi pIC50,all,4609208.777817725,7584325768335944.0,86965976.00997265,0.013345,[-0.074 ~ 0.1],-2804148818094376.0,0.510987,GAP,1,test,357
3,Ridge,delta G,all,10559765874.903906,3.980826895520399e+22,199240462461.05447,-0.00772,[-0.095 ~ 0.08],-522573713910795.6,0.433503,GAP,1,test,357
4,Ridge,Affinity Data Value,all,225174775299.88702,1.8100524612550278e+25,4248508526565.319,-0.012028,[-0.099 ~ 0.075],-228336097593906.88,0.362123,GAP,1,test,357
5,Ridge,pKd pKi pIC50,all,1922107.2584838911,1318912362000595.8,36265934.234700486,-0.013344,[-0.1 ~ 0.074],-487640781005836.0,0.521839,GAP,1,test,357
6,Lasso,delta G,all,9994607284.465706,3.5661454176908602e+22,188577734936.58466,-0.00772,[-0.095 ~ 0.08],-468137375520082.6,0.445621,GAP,1,test,357
7,Lasso,Affinity Data Value,all,97724.62777800795,79282943503.76715,49342.48626329074,0.096571,[0.009 ~ 0.182],-0.000145,0.391932,GAP,1,test,357
8,Lasso,pKd pKi pIC50,all,1584214.8286874408,895974627697973.2,29890883.106860228,-0.013345,[-0.1 ~ 0.074],-331268232674169.94,0.539473,GAP,1,test,357
9,ElasticNet,delta G,all,6908043569.26876,1.703624216015688e+22,130340021570.30173,-0.00772,[-0.095 ~ 0.08],-223639273205649.28,0.418577,GAP,1,test,357
10,ElasticNet,Affinity Data Value,all,118736774021.59662,5.033089985898258e+24,2240310645367.6704,-0.012028,[-0.099 ~ 0.075],-63491868375026.34,0.365576,GAP,1,test,357
11,ElasticNet,pKd pKi pIC50,all,1939700.7109748453,1343189031217067.8,36598177.48001306,-0.013345,[-0.1 ~ 0.074],-496616581277344.4,0.532213,GAP,1,test,357
12,SVR,delta G,all,7366.134146817302,84797223.82567286,67.04274159307145,0.445164,[0.372 ~ 0.512],-0.113156,0.44911,GAP,1,test,357
13,SVR,Affinity Data Value,all,64334.985387595196,83380882277.91513,61.72354280457392,0.170756,[0.085 ~ 0.254],-0.051841,0.450905,GAP,1,test,357
14,SVR,pKd pKi pIC50,all,1.058692805436973,1.8260884417343768,1.1251078288036194,0.579718,[0.519 ~ 0.635],0.324841,0.579201,GAP,1,test,357
15,DecisionTree,delta G,all,9048.630474725553,126687386.38472387,10287.668013720428,0.308087,[0.227 ~ 0.385],-0.663059,0.316599,GAP,1,test,357
16,DecisionTree,Affinity Data Value,all,130474.76388515407,188362111119.4653,363019.2918382342,0.112686,[0.026 ~ 0.198],-1.376167,0.179409,GAP,1,test,357
17,DecisionTree,pKd pKi pIC50,all,1.5173949579831933,3.6947190476190475,1.7096066124575922,0.34518,[0.266 ~ 0.42],-0.366047,0.352325,GAP,1,test,357
18,RandomForest,delta G,all,5998.799042591934,57944001.29373793,5252.558340312147,0.499866,[0.431 ~ 0.563],0.239354,0.498896,GAP,1,test,357
19,RandomForest,Affinity Data Value,all,100631.29029623726,78273471700.87042,95014.6585866735,0.187569,[0.102 ~ 0.27],0.012589,0.371562,GAP,1,test,357
20,RandomForest,pKd pKi pIC50,all,1.0469187675070026,1.7632275463305318,1.10823324565603,0.595861,[0.537 ~ 0.649],0.348083,0.595292,GAP,1,test,357
21,XGBoost,delta G,all,6989.5454918800015,78719591.10469335,6958.91357421875,0.37806,[0.301 ~ 0.45],-0.033373,0.38212,GAP,1,test,357
22,XGBoost,Affinity Data Value,all,124405.35942352423,91793326001.60786,136872.890625,0.086342,[-0.001 ~ 0.172],-0.157963,0.237372,GAP,1,test,357
23,XGBoost,pKd pKi pIC50,all,1.1346755228389878,2.046238855982564,1.269426941871643,0.546998,[0.483 ~ 0.605],0.243445,0.553458,GAP,1,test,357
24,linearRegression,delta G,ki,21443828718.892223,1.641614144473902e+23,404600518978.3723,-0.00772,[-0.095 ~ 0.08],-2154990465050292.2,0.423791,GAP,1,test,357
25,linearRegression,Affinity Data Value,ki,137645238394.6298,6.763370109206923e+24,2597003318697.806,-0.012028,[-0.099 ~ 0.075],-85319158995468.78,0.356384,GAP,1,test,357
26,linearRegression,pKd pKi pIC50,ki,3492991.426383466,4355708879711442.0,65905296.62325323,-0.013344,[-0.1 ~ 0.074],-1610433976609877.5,0.5148,GAP,1,test,357
