,Modeltype,Scoretype,Datatype,Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),add. information
0,linearRegression,delta G,all,22780565.499051403,2.1241568715808565,0.084888,[-0.013 ~ 0.181],-23.072059,final size5 f regression
1,Ridge,delta G,all,22780430.246119056,1.862786950542835,0.085045,[-0.013 ~ 0.181],-23.071916,final size5 f regression
2,Lasso,delta G,all,22780668.809928432,0.5605236511021507,0.087088,[-0.011 ~ 0.183],-23.072168,final size5 f regression
3,ElasticNet,delta G,all,22780814.92209911,0.4701536613255489,0.087215,[-0.011 ~ 0.183],-23.072323,final size5 f regression
4,SVR,delta G,all,22781335.502914965,0.1615893611819738,0.053529,[-0.044 ~ 0.15],-23.072873,final size5 f regression
5,DecisionTree,delta G,all,22784632.307525713,10.714822029595494,-0.041559,[-0.139 ~ 0.056],-23.076356,final size5 f regression
6,RandomForest,delta G,all,22783293.75819392,7.134011568674417,-0.001589,[-0.099 ~ 0.096],-23.074942,final size5 f regression
7,XGBoost,delta G,all,22782883.68259359,6.947717189788818,0.026906,[-0.071 ~ 0.124],-23.074509,final size5 f regression
8,linearRegression,delta G,all,22780565.499051373,2.124156871620344,0.084888,[-0.013 ~ 0.181],-23.072059,GAP size5 f regression
9,Ridge,delta G,all,22780430.246119056,1.8627869505446772,0.085045,[-0.013 ~ 0.181],-23.071916,GAP size5 f regression
10,Lasso,delta G,all,22781090.92971379,0.3997758731809221,0.087587,[-0.01 ~ 0.184],-23.072614,GAP size5 f regression
11,ElasticNet,delta G,all,22780645.284139816,0.5423244931065728,0.087043,[-0.011 ~ 0.183],-23.072143,GAP size5 f regression
12,SVR,delta G,all,22781335.502914965,0.16158936118196104,0.053529,[-0.044 ~ 0.15],-23.072873,GAP size5 f regression
13,DecisionTree,delta G,all,22784466.123337146,10.696658735570606,-0.037819,[-0.135 ~ 0.06],-23.076181,GAP size5 f regression
14,RandomForest,delta G,all,22783667.099489633,7.22495907665483,0.01688,[-0.081 ~ 0.114],-23.075337,GAP size5 f regression
15,XGBoost,delta G,all,22782883.68259359,6.947717189788818,0.026906,[-0.071 ~ 0.124],-23.074509,GAP size5 f regression
16,linearRegression,delta G,all,22793172.597016577,4.0522971215493735,-0.377997,[-0.459 ~ -0.291],-23.085381,slim size5 f regression
17,Ridge,delta G,all,22793147.01499498,4.040213958981276,-0.378192,[-0.459 ~ -0.291],-23.085354,slim size5 f regression
18,Lasso,delta G,all,22793206.566827327,4.04313032440816,-0.378118,[-0.459 ~ -0.291],-23.085417,slim size5 f regression
19,ElasticNet,delta G,all,22793161.095359728,4.031814405393882,-0.378304,[-0.459 ~ -0.291],-23.085369,slim size5 f regression
20,SVR,delta G,all,22788137.85617774,4.458362195472961,-0.452261,[-0.527 ~ -0.371],-23.080061,slim size5 f regression
21,DecisionTree,delta G,all,22791103.189856365,10.501496652680895,-0.257954,[-0.347 ~ -0.164],-23.083194,slim size5 f regression
22,RandomForest,delta G,all,22790241.322838504,5.664505656611057,-0.365751,[-0.447 ~ -0.278],-23.082283,slim size5 f regression
23,XGBoost,delta G,all,22788357.70300483,7.644017696380615,-0.254318,[-0.343 ~ -0.161],-23.080293,slim size5 f regression
24,linearRegression,delta G,all,22780567.691701237,2.1246219204746257,0.087043,[-0.011 ~ 0.183],-23.072061,final size5 r regression
25,Ridge,delta G,all,22780451.698999222,1.8630205538745606,0.087498,[-0.01 ~ 0.184],-23.071939,final size5 r regression
26,Lasso,delta G,all,22781169.880961537,0.3697882015102429,0.087711,[-0.01 ~ 0.184],-23.072698,final size5 r regression
27,ElasticNet,delta G,all,22780901.001659106,0.44530812672582626,0.087307,[-0.01 ~ 0.183],-23.072414,final size5 r regression
28,SVR,delta G,all,22780442.327455763,0.2249433516485266,0.03497,[-0.063 ~ 0.132],-23.071929,final size5 r regression
29,DecisionTree,delta G,all,22785191.318527646,10.774101286112213,-0.032663,[-0.13 ~ 0.065],-23.076947,final size5 r regression
30,RandomForest,delta G,all,22783918.47466942,6.822070918055103,0.026963,[-0.071 ~ 0.124],-23.075602,final size5 r regression
31,XGBoost,delta G,all,22783844.209426165,6.900406837463379,0.006756,[-0.091 ~ 0.104],-23.075524,final size5 r regression
32,linearRegression,delta G,all,22780567.691701233,2.1246219204746395,0.087043,[-0.011 ~ 0.183],-23.072061,GAP size5 r regression
33,Ridge,delta G,all,22780451.69899923,1.8630205538773135,0.087498,[-0.01 ~ 0.184],-23.071939,GAP size5 r regression
34,Lasso,delta G,all,22781017.29987532,0.4277706116071474,0.087482,[-0.01 ~ 0.184],-23.072537,GAP size5 r regression
35,ElasticNet,delta G,all,22780782.997404065,0.4929507648530281,0.087172,[-0.011 ~ 0.183],-23.072289,GAP size5 r regression
36,SVR,delta G,all,22780442.32745576,0.2249433516485268,0.03497,[-0.063 ~ 0.132],-23.071929,GAP size5 r regression
37,DecisionTree,delta G,all,22783886.422654886,10.930147726248768,-0.026353,[-0.124 ~ 0.071],-23.075568,GAP size5 r regression
38,RandomForest,delta G,all,22783730.973536305,6.86794776489812,0.021166,[-0.077 ~ 0.119],-23.075404,GAP size5 r regression
39,XGBoost,delta G,all,22783844.209426165,6.900406837463379,0.006756,[-0.091 ~ 0.104],-23.075524,GAP size5 r regression
40,linearRegression,delta G,all,22777950.084768508,2.003951983257599,-0.302494,[-0.389 ~ -0.211],-23.069295,slim size5 r regression
41,Ridge,delta G,all,22777917.888657037,1.9929719353306417,-0.302435,[-0.389 ~ -0.211],-23.069261,slim size5 r regression
42,Lasso,delta G,all,22777958.788483407,1.9984465762969743,-0.302382,[-0.389 ~ -0.211],-23.069305,slim size5 r regression
43,ElasticNet,delta G,all,22777928.486720644,1.9893149992672432,-0.302339,[-0.389 ~ -0.211],-23.069273,slim size5 r regression
44,SVR,delta G,all,22777798.797412,2.9640570260065635,-0.411656,[-0.49 ~ -0.327],-23.069136,slim size5 r regression
45,DecisionTree,delta G,all,22778437.80522651,11.05194769208242,-0.200442,[-0.292 ~ -0.105],-23.069811,slim size5 r regression
46,RandomForest,delta G,all,22777431.605569717,4.516842653104331,-0.338981,[-0.423 ~ -0.25],-23.068748,slim size5 r regression
47,XGBoost,delta G,all,22776283.905645605,7.235084056854248,-0.251824,[-0.341 ~ -0.158],-23.067535,slim size5 r regression
48,linearRegression,delta G,all,22791617.13875952,3.938466956695792,-0.410552,[-0.489 ~ -0.326],-23.083737,final size5 mutual info regression
49,Ridge,delta G,all,22791663.55292857,3.9312815392820255,-0.410009,[-0.488 ~ -0.325],-23.083786,final size5 mutual info regression
50,Lasso,delta G,all,22792019.54996377,3.917572892737806,-0.408823,[-0.487 ~ -0.324],-23.084163,final size5 mutual info regression
51,ElasticNet,delta G,all,22791795.249154147,3.9151590377511662,-0.409097,[-0.487 ~ -0.324],-23.083925,final size5 mutual info regression
52,SVR,delta G,all,22787954.225498512,3.831566922875784,-0.416808,[-0.494 ~ -0.333],-23.079867,final size5 mutual info regression
53,DecisionTree,delta G,all,22770574.164015885,9.944635183423292,-0.200379,[-0.292 ~ -0.105],-23.061501,final size5 mutual info regression
54,RandomForest,delta G,all,22789515.178327017,5.102068247456691,-0.344448,[-0.428 ~ -0.255],-23.081516,final size5 mutual info regression
55,XGBoost,delta G,all,22787989.269565348,7.107941150665283,-0.263264,[-0.352 ~ -0.17],-23.079904,final size5 mutual info regression
56,linearRegression,delta G,all,22785824.149879094,3.691542347797937,-0.613884,[-0.671 ~ -0.549],-23.077616,GAP size5 mutual info regression
57,Ridge,delta G,all,22785838.046149436,3.6909483146975313,-0.613781,[-0.671 ~ -0.549],-23.077631,GAP size5 mutual info regression
58,Lasso,delta G,all,22785923.66652334,3.687723470962071,-0.613797,[-0.671 ~ -0.549],-23.077721,GAP size5 mutual info regression
59,ElasticNet,delta G,all,22785899.865750276,3.688409033328412,-0.613434,[-0.671 ~ -0.549],-23.077696,GAP size5 mutual info regression
60,SVR,delta G,all,22782267.900562897,3.9997576962659735,-0.625063,[-0.681 ~ -0.562],-23.073858,GAP size5 mutual info regression
61,DecisionTree,delta G,all,22784725.513946097,11.052154065350317,-0.30456,[-0.391 ~ -0.213],-23.076455,GAP size5 mutual info regression
62,RandomForest,delta G,all,22785897.70473178,5.65431749972628,-0.57714,[-0.639 ~ -0.508],-23.077694,GAP size5 mutual info regression
63,XGBoost,delta G,all,22787550.54155682,7.150418281555176,-0.453758,[-0.528 ~ -0.373],-23.07944,GAP size5 mutual info regression
64,linearRegression,delta G,all,22786456.796749525,3.6372561742137037,-0.632658,[-0.688 ~ -0.57],-23.078284,slim size5 mutual info regression
65,Ridge,delta G,all,22786595.648382507,3.6306784786388255,-0.632172,[-0.687 ~ -0.57],-23.078431,slim size5 mutual info regression
66,Lasso,delta G,all,22786651.636348255,3.6296645898925908,-0.632528,[-0.688 ~ -0.57],-23.07849,slim size5 mutual info regression
67,ElasticNet,delta G,all,22786606.76630935,3.630653204856315,-0.632298,[-0.687 ~ -0.57],-23.078443,slim size5 mutual info regression
68,SVR,delta G,all,22781932.95169571,4.021605340736296,-0.677969,[-0.727 ~ -0.621],-23.073504,slim size5 mutual info regression
69,DecisionTree,delta G,all,22774619.21164063,10.237823579488976,-0.308158,[-0.394 ~ -0.217],-23.065776,slim size5 mutual info regression
70,RandomForest,delta G,all,22785020.27998173,5.352054866369515,-0.606602,[-0.665 ~ -0.541],-23.076766,slim size5 mutual info regression
71,XGBoost,delta G,all,22778104.143708386,6.876561164855957,-0.448478,[-0.523 ~ -0.367],-23.069458,slim size5 mutual info regression
72,linearRegression,delta G,all,22792784.544511963,3.367616898221767,-0.065809,[-0.162 ~ 0.032],-23.084971,final size10 f regression
73,Ridge,delta G,all,22792590.62036514,3.110128256574864,-0.079878,[-0.176 ~ 0.018],-23.084766,final size10 f regression
74,Lasso,delta G,all,22793094.907145463,1.969409065677768,-0.200712,[-0.293 ~ -0.105],-23.085299,final size10 f regression
75,ElasticNet,delta G,all,22791868.67407968,2.0684566261261965,-0.172112,[-0.265 ~ -0.076],-23.084003,final size10 f regression
76,SVR,delta G,all,22790633.76116778,2.320719374327992,-0.213642,[-0.305 ~ -0.118],-23.082698,final size10 f regression
77,DecisionTree,delta G,all,22795110.235215474,11.177021947000998,-0.108973,[-0.204 ~ -0.011],-23.087428,final size10 f regression
78,RandomForest,delta G,all,22793501.46717425,5.744200122668817,-0.122585,[-0.218 ~ -0.025],-23.085728,final size10 f regression
79,XGBoost,delta G,all,22794152.300031077,6.445001602172852,-0.129318,[-0.224 ~ -0.032],-23.086416,final size10 f regression
80,linearRegression,delta G,all,22792784.544511903,3.367616898211935,-0.065809,[-0.162 ~ 0.032],-23.084971,GAP size10 f regression
81,Ridge,delta G,all,22792590.62036516,3.110128256578577,-0.079878,[-0.176 ~ 0.018],-23.084766,GAP size10 f regression
82,Lasso,delta G,all,22792590.036244757,2.090599129717189,-0.181793,[-0.275 ~ -0.086],-23.084765,GAP size10 f regression
83,ElasticNet,delta G,all,22791858.40944713,2.0539444089565735,-0.173093,[-0.266 ~ -0.077],-23.083992,GAP size10 f regression
84,SVR,delta G,all,22790634.956723657,2.3208737924763,-0.213644,[-0.305 ~ -0.118],-23.082699,GAP size10 f regression
85,DecisionTree,delta G,all,22794219.5814285,11.375268081988755,-0.081036,[-0.177 ~ 0.017],-23.086487,GAP size10 f regression
86,RandomForest,delta G,all,22792478.5621869,5.83992415046946,-0.112817,[-0.208 ~ -0.015],-23.084648,GAP size10 f regression
87,XGBoost,delta G,all,22794152.300031077,6.445001602172852,-0.129318,[-0.224 ~ -0.032],-23.086416,GAP size10 f regression
88,linearRegression,delta G,all,22783298.85769877,3.8521164221384194,-0.47749,[-0.55 ~ -0.398],-23.074947,slim size10 f regression
