,Modeltype,Scoretype,Datatype,Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),add. information,Time
0,linearRegression,delta G,all,32961672906276.758,5730947.378450924,0.083708,[-0.014 ~ 0.18],-34830360.78370299,final,0.002777552604675293
1,linearRegression,Affinity Data Value,all,1.558118735083389e+22,124605465787.46878,0.00040300000000000004,[-0.097 ~ 0.098],-14669150414.812057,final,0.0018347740173339845
2,linearRegression,pKd pKi pIC50,all,85496976885.53345,291885.06831901474,-0.07972899999999998,[-0.176 ~ 0.018],-18148636103.744392,final,0.0018513202667236328
3,Ridge,delta G,all,22781495.991682637,5.0680282005576895,-0.520899,[-0.589 ~ -0.446],-23.073041999999997,final,0.0019069194793701171
4,Ridge,Affinity Data Value,all,1081057794203.8363,67389.71355122013,0.225313,[0.131 ~ 0.316],-0.017778999999999996,final,0.002120709419250488
5,Ridge,pKd pKi pIC50,all,3.038899417271595,1.0601823938365516,0.6153719999999999,[0.551 ~ 0.673],0.35492599999999996,final,0.0020227670669555665
6,Lasso,delta G,all,22784661.35019252,4.430729346808489,-0.601813,[-0.661 ~ -0.536],-23.076387000000004,final,0.0020325183868408203
7,Lasso,Affinity Data Value,all,1080703357057.0123,52640.25204267101,0.26535699999999995,[0.172 ~ 0.354],-0.017444999999999995,final,0.002058124542236328
8,Lasso,pKd pKi pIC50,all,2.9153657745912556,0.9518988017671195,0.656148,[0.597 ~ 0.708],0.38114900000000007,final,0.0019074201583862305
9,ElasticNet,delta G,all,22784976.603942953,4.371506165940433,-0.5939699999999999,[-0.654 ~ -0.527],-23.076719999999998,final,0.001979207992553711
10,ElasticNet,Affinity Data Value,all,1095562989228.2924,27150.110709830762,0.2760790000000001,[0.183 ~ 0.364],-0.031435,final,0.0019302845001220703
11,ElasticNet,pKd pKi pIC50,all,2.9289142760180416,0.9508322267987819,0.6528400000000001,[0.593 ~ 0.706],0.378273,final,0.002028656005859375
12,SVR,delta G,all,22789831.68984717,4.087611776944662,-0.564617,[-0.628 ~ -0.494],-23.081851,final,0.19076862335205078
13,SVR,Affinity Data Value,all,1131676933692.6265,43.059548239633614,0.279137,[0.187 ~ 0.367],-0.06543500000000001,final,0.2016054391860962
14,SVR,pKd pKi pIC50,all,2.9405856274691984,1.0354783400103011,0.6333960000000001,[0.571 ~ 0.688],0.37579500000000005,final,0.1893707036972046
15,DecisionTree,delta G,all,22781655.274288204,10.017912479296573,-0.35822600000000004,[-0.44 ~ -0.27],-23.073211000000004,final,0.002310037612915039
16,DecisionTree,Affinity Data Value,all,1087011197652.2346,149772.9683535162,0.16083500000000003,[0.064 ~ 0.254],-0.023383999999999995,final,0.0028333663940429688
17,DecisionTree,pKd pKi pIC50,all,4.243205614035088,1.828168380027123,0.483242,[0.405 ~ 0.555],0.09928499999999998,final,0.0024191617965698244
18,RandomForest,delta G,all,22786477.555409037,5.54387694899507,-0.6585780000000001,[-0.711 ~ -0.599],-23.078306,final,0.07476465702056885
19,RandomForest,Affinity Data Value,all,1066957916059.9338,97336.43751714715,0.24025400000000002,[0.146 ~ 0.33],-0.004504,final,0.07259399890899658
20,RandomForest,pKd pKi pIC50,all,2.6125207959649117,1.0663305362780702,0.6996089999999999,[0.646 ~ 0.746],0.445434,final,0.07363450527191162
21,XGBoost,delta G,all,22789229.72194814,7.69481897354126,-0.595116,[-0.655 ~ -0.528],-23.081214999999997,final,0.015392637252807618
22,XGBoost,Affinity Data Value,all,1044714041817.4504,100461.9203125,0.3548490000000001,[0.266 ~ 0.437],0.016438000000000005,final,0.012926125526428222
23,XGBoost,pKd pKi pIC50,all,2.7598589350485048,1.3767952919006348,0.64468,[0.584 ~ 0.698],0.41415900000000005,final,0.012837886810302734
24,linearRegression,delta G,ki,1.3024110210484406e+51,3.6025562560724727e+25,-0.083708,[-0.18 ~ 0.014],-1.3762483228076839e+45,final,0.0017492294311523438
25,linearRegression,Affinity Data Value,ki,1.8101523969222184e+58,1.3430565829492046e+29,-0.00040300000000000004,[-0.098 ~ 0.097],-1.7041960402699124e+46,final,0.002153444290161133
26,linearRegression,pKd pKi pIC50,ki,4.095014507872347e+47,6.387993453280067e+23,-0.079731,[-0.176 ~ 0.018],-8.692579650684624e+46,final,0.0017543554306030274
27,Ridge,delta G,ki,5.979969424130238e+20,24411036397.1792,0.083708,[-0.014 ~ 0.18],-631899051635433.2,final,0.0016610145568847657
28,Ridge,Affinity Data Value,ki,9.772029713521548e+26,31205355120128.29,-0.00040300000000000004,[-0.098 ~ 0.097],-920002888789861.2,final,0.0018265485763549806
29,Ridge,pKd pKi pIC50,ki,2.275925213609869e+19,4762288851.935536,-0.079731,[-0.176 ~ 0.018],-4.83115777984978e+18,final,0.0017590284347534179
30,Lasso,delta G,ki,22842711.728434354,62.84217654305794,-0.08304599999999998,[-0.179 ~ 0.015],-23.137729000000004,final,0.0018602848052978516
31,Lasso,Affinity Data Value,ki,1093276670611.1508,62715.97398607388,0.16182199999999997,[0.065 ~ 0.255],-0.029281999999999996,final,0.001865530014038086
32,Lasso,pKd pKi pIC50,ki,2.6125251329302954,1.1156533786262253,0.6952119999999999,[0.641 ~ 0.742],0.4454330000000001,final,0.0018717288970947266
33,ElasticNet,delta G,ki,4.952735255213863e+20,22215663730.6172,0.083708,[-0.014 ~ 0.18],-523351958647548.9,final,0.002044057846069336
34,ElasticNet,Affinity Data Value,ki,8.708279359197264e+26,29457976821980.258,-0.00040300000000000004,[-0.098 ~ 0.097],-819854462350324.2,final,0.001963973045349121
35,ElasticNet,pKd pKi pIC50,ki,1.5576863324132012e+19,3939823303.3842916,-0.079731,[-0.176 ~ 0.018],-3.306535908298825e+18,final,0.0017875909805297851
36,SVR,delta G,ki,22809705.501716472,3.9987226698625378,-0.5820559999999999,[-0.643 ~ -0.514],-23.102850999999998,final,0.0887751579284668
37,SVR,Affinity Data Value,ki,1131797492609.857,23.981975965247553,0.22573700000000002,[0.131 ~ 0.316],-0.06554799999999998,final,0.09018971920013427
38,SVR,pKd pKi pIC50,ki,2.8437972794408184,1.0521586161443324,0.6628179999999999,[0.604 ~ 0.714],0.396341,final,0.08440175056457519
39,DecisionTree,delta G,ki,22801295.315257702,10.404717954443013,-0.43148700000000006,[-0.508 ~ -0.349],-23.093964,final,0.0021481037139892576
40,DecisionTree,Affinity Data Value,ki,1063532124488.742,106513.6193565405,0.28822500000000006,[0.196 ~ 0.375],-0.0012790000000000002,final,0.001999950408935547
41,DecisionTree,pKd pKi pIC50,ki,4.334708771929826,1.8214381344993735,0.472802,[0.393 ~ 0.545],0.079862,final,0.002089095115661621
42,RandomForest,delta G,ki,22797963.344130937,5.980723487575211,-0.6592089999999999,[-0.711 ~ -0.6],-23.090442999999997,final,0.047319769859313965
43,RandomForest,Affinity Data Value,ki,1088819382104.6582,101130.03081761496,0.15489100000000003,[0.058 ~ 0.249],-0.025086000000000004,final,0.046738934516906736
44,RandomForest,pKd pKi pIC50,ki,2.64952923354386,1.172954732789709,0.687086,[0.632 ~ 0.735],0.43757800000000013,final,0.04301950931549072
45,XGBoost,delta G,ki,22797294.318423223,8.193392276763916,-0.5839610000000001,[-0.645 ~ -0.516],-23.089735999999995,final,0.013030290603637695
46,XGBoost,Affinity Data Value,ki,1085710335095.6674,173973.0703125,0.14182800000000004,[0.045 ~ 0.236],-0.022159000000000005,final,0.014363336563110351
47,XGBoost,pKd pKi pIC50,ki,2.7695991055814484,1.507727861404419,0.6454110000000001,[0.585 ~ 0.699],0.4120910000000001,final,0.013179636001586914
48,linearRegression,delta G,kd,2.2931145656239378e+18,1512707700.373602,-0.08726599999999998,[-0.183 ~ 0.01],-2423117605687.963,final,0.001856231689453125
49,linearRegression,Affinity Data Value,kd,9.013826079780295e+27,94776791478129.77,0.00051,[-0.097 ~ 0.098],-8486206321060000.0,final,0.001840662956237793
50,linearRegression,pKd pKi pIC50,kd,4.0124652163884525e+17,632287252.4709778,0.07937099999999998,[-0.018 ~ 0.176],-8.51735040791836e+16,final,0.0021122455596923827
51,Ridge,delta G,kd,22760846.728639808,8.606852098678976,-0.20098699999999997,[-0.293 ~ -0.105],-23.051222,final,0.0017521381378173828
52,Ridge,Affinity Data Value,kd,1096151472533.4119,121545.02238702905,0.10451600000000003,[0.007 ~ 0.2],-0.031989,final,0.0017294883728027344
53,Ridge,pKd pKi pIC50,kd,15.247687647791626,3.489606640654788,0.13493200000000002,[0.038 ~ 0.23],-2.2366609999999993,final,0.0018136024475097657
54,Lasso,delta G,kd,22768508.18564561,3.1092429783466184,-0.561611,[-0.625 ~ -0.491],-23.059317999999998,final,0.0017381429672241211
55,Lasso,Affinity Data Value,kd,1085643818877.219,54390.65765692435,0.22801500000000002,[0.133 ~ 0.319],-0.022096,final,0.0020978689193725587
56,Lasso,pKd pKi pIC50,kd,6.362659233825755,1.8276301584112673,0.23681999999999997,[0.142 ~ 0.327],-0.350616,final,0.0017285346984863281
57,ElasticNet,delta G,kd,22766481.060481723,5.850796293593427,-0.264672,[-0.353 ~ -0.171],-23.057176,final,0.0018862009048461914
58,ElasticNet,Affinity Data Value,kd,1096083135251.319,30996.130877874988,0.21115100000000003,[0.116 ~ 0.303],-0.031924,final,0.002198457717895508
59,ElasticNet,pKd pKi pIC50,kd,6.387620206179314,1.828582036988347,0.233746,[0.139 ~ 0.324],-0.355915,final,0.0018225669860839843
60,SVR,delta G,kd,22775913.602486372,3.1731608825885327,-0.4838649999999999,[-0.555 ~ -0.405],-23.067142999999998,final,0.10160553455352783
61,SVR,Affinity Data Value,kd,1131447400320.6377,21.969722198816783,0.2948680000000001,[0.203 ~ 0.382],-0.06521900000000001,final,0.1023102045059204
62,SVR,pKd pKi pIC50,kd,3.470344448576273,0.8848279931436258,0.541848,[0.469 ~ 0.607],0.2633420000000001,final,0.09658427238464355
63,DecisionTree,delta G,kd,22777411.283197466,10.200658949659283,-0.20819700000000002,[-0.3 ~ -0.113],-23.068726,final,0.0020784616470336916
64,DecisionTree,Affinity Data Value,kd,1329647513190.2969,461374.08977815474,-0.028649,[-0.126 ~ 0.069],-0.251817,final,0.0021688461303710936
65,DecisionTree,pKd pKi pIC50,kd,5.27570596491228,1.7513278377975818,0.34711200000000003,[0.258 ~ 0.43],-0.119886,final,0.0020987749099731444
66,RandomForest,delta G,kd,22772898.84159932,4.376681916009055,-0.6087939999999998,[-0.667 ~ -0.543],-23.063958000000003,final,0.04726886749267578
67,RandomForest,Affinity Data Value,kd,1071237581015.1198,145868.8757222959,0.153864,[0.057 ~ 0.248],-0.008533,final,0.04967520236968994
68,RandomForest,pKd pKi pIC50,kd,3.058242079192982,0.9066735565381039,0.6499629999999998,[0.59 ~ 0.703],0.3508200000000001,final,0.049152374267578125
69,XGBoost,delta G,kd,22780385.63177672,6.677492332458496,-0.489116,[-0.56 ~ -0.411],-23.071868999999996,final,0.012945079803466797
70,XGBoost,Affinity Data Value,kd,1090908403165.6158,119069.7484375,0.110375,[0.013 ~ 0.206],-0.027053,final,0.013431811332702636
71,XGBoost,pKd pKi pIC50,kd,3.4047413182892887,1.282612943649292,0.536854,[0.464 ~ 0.603],0.27726799999999996,final,0.013341736793518067
72,linearRegression,delta G,all,3268507024303883.5,57070274.712075695,0.083708,[-0.014 ~ 0.18],-3453807773.6472406,GAP,0.002135038375854492
73,linearRegression,Affinity Data Value,all,9.291962275284507e+19,9622533056.032436,-0.00040899999999999997,[-0.098 ~ 0.097],-87480618.547845,GAP,0.0019361019134521485
74,linearRegression,pKd pKi pIC50,all,144325202037.914,379234.28453934664,-0.07973200000000001,[-0.176 ~ 0.018],-30636236132.081512,GAP,0.0018414735794067382
75,Ridge,delta G,all,22784397.222641468,5.034237229569294,-0.5357120000000001,[-0.602 ~ -0.462],-23.076108,GAP,0.002021503448486328
76,Ridge,Affinity Data Value,all,1080633855968.7272,69712.04706711949,0.229888,[0.135 ~ 0.32],-0.017379000000000002,GAP,0.0019841432571411134
