,Modeltype,Scoretype,Datatype,Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),add. information
0,linearRegression,delta G,all,4.0572784236288415e+21,63696769542.49942,-0.083708,[-0.18 ~ 0.014],-4287296817549977.5,poly
1,linearRegression,Affinity Data Value,all,5.62356001757296e+31,7499039950330536.0,0.000403,[-0.097 ~ 0.098],-5.294387771141812e+19,poly
2,linearRegression,pKd pKi pIC50,all,5.264663679632994e+23,725580021747.9031,-0.079731,[-0.176 ~ 0.018],-1.1175420326667807e+23,poly
3,Ridge,delta G,all,22786655.293629825,5.526723484828252,-0.526276,[-0.593 ~ -0.452],-23.078494,poly
4,Ridge,Affinity Data Value,all,1076670260401.91,75864.47620963797,0.251081,[0.157 ~ 0.34],-0.013648,poly
5,Ridge,pKd pKi pIC50,all,2.956307621987793,1.0898017788299672,0.622182,[0.558 ~ 0.679],0.372458,poly
6,Lasso,delta G,all,22785105.99986859,4.766392839732987,-0.585915,[-0.647 ~ -0.518],-23.076857,poly
7,Lasso,Affinity Data Value,all,1074898656905.2947,67425.09141514958,0.259608,[0.166 ~ 0.348],-0.01198,poly
8,Lasso,pKd pKi pIC50,all,2.92609891231708,1.0223690287991114,0.638684,[0.577 ~ 0.693],0.37887,poly
9,ElasticNet,delta G,all,22786624.59954098,4.8048273902627665,-0.581937,[-0.643 ~ -0.513],-23.078462,poly
10,ElasticNet,Affinity Data Value,all,1106136539390.3826,8856.319484987302,0.251285,[0.158 ~ 0.341],-0.041389,poly
11,ElasticNet,pKd pKi pIC50,all,2.938797220717547,1.0135331820420586,0.637244,[0.575 ~ 0.692],0.376175,poly
12,linearRegression,delta G,ki,24058223.150675174,16.838217604458393,-0.231186,[-0.345 ~ -0.111],-24.077733,poly
13,linearRegression,Affinity Data Value,ki,1022915491251.3026,117859.98828918174,0.069875,[-0.054 ~ 0.192],-0.050364,poly
14,linearRegression,pKd pKi pIC50,ki,5.763714471971231,2.487272919385756,0.486555,[0.386 ~ 0.576],-0.149294,poly
15,Ridge,delta G,ki,24072056.70395528,6.968118364338567,-0.678661,[-0.74 ~ -0.606],-24.092153,poly
16,Ridge,Affinity Data Value,ki,979005478924.77,101697.18542794834,0.246373,[0.127 ~ 0.359],-0.005276,poly
17,Ridge,pKd pKi pIC50,ki,2.640192291565741,1.3769807490914776,0.693168,[0.623 ~ 0.752],0.473541,poly
18,Lasso,delta G,ki,24065922.80094652,5.986855723422886,-0.715998,[-0.771 ~ -0.65],-24.085759,poly
19,Lasso,Affinity Data Value,ki,1019156181092.9928,0.0,,[nan ~ nan],-0.046504,poly
20,Lasso,pKd pKi pIC50,ki,2.615093643154152,1.262099980141807,0.706776,[0.639 ~ 0.764],0.478546,poly
21,ElasticNet,delta G,ki,24070372.244874578,5.976936827847854,-0.711062,[-0.767 ~ -0.644],-24.090397,poly
22,ElasticNet,Affinity Data Value,ki,1014741125519.7712,10033.95311791806,0.232909,[0.112 ~ 0.347],-0.04197,poly
23,ElasticNet,pKd pKi pIC50,ki,2.6278368641682106,1.2490302128449273,0.706014,[0.638 ~ 0.763],0.476005,poly
24,linearRegression,delta G,kd,9.677889632478175e+33,9.837645801904834e+16,-0.068733,[-0.226 ~ 0.092],-1.1415238392081548e+28,poly
25,linearRegression,Affinity Data Value,kd,6.309261326279006e+40,2.5118358744626718e+20,0.025596,[-0.135 ~ 0.185],-5.222826940141162e+28,poly
26,linearRegression,pKd pKi pIC50,kd,3.1945552894251123e+31,5652021802398942.0,0.063927,[-0.097 ~ 0.222],-8.638728255069797e+30,poly
27,Ridge,delta G,kd,24872429.85995684,1979.8117923109749,0.067654,[-0.093 ~ 0.225],-28.337462,poly
28,Ridge,Affinity Data Value,kd,356964472253111.3,18932316.282141533,-0.0099,[-0.17 ~ 0.15],-294.496345,poly
29,Ridge,pKd pKi pIC50,kd,175904.42555146455,421.1003041660646,-0.082268,[-0.239 ~ 0.079],-47567.139961,poly
30,Lasso,delta G,kd,20657919.366734307,8.251295521752533,-0.06028,[-0.218 ~ 0.101],-23.366374,poly
31,Lasso,Affinity Data Value,kd,1293169666438.5525,260655.05663283748,0.078724,[-0.082 ~ 0.236],-0.07049,poly
32,Lasso,pKd pKi pIC50,kd,28.367644759313595,4.97563795322563,0.000257,[-0.16 ~ 0.16],-6.671189,poly
33,ElasticNet,delta G,kd,20534648.918417107,158.61088889999263,0.063077,[-0.098 ~ 0.221],-23.220974,poly
34,ElasticNet,Affinity Data Value,kd,1609729155185.7778,596160.6115721442,0.030644,[-0.13 ~ 0.19],-0.332539,poly
35,ElasticNet,pKd pKi pIC50,kd,40.235823020235216,6.031482896308853,-0.011246,[-0.171 ~ 0.149],-9.880586,poly
