,Modeltype,Scoretype,Datatype,Mean absolute error (mae),Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),add. information
0,DecisionTree,delta G,all,4672.741445807965,22789249.649059113,10.31639828302601,-0.412609,[-0.49 ~ -0.328],-23.081236,GAP
1,DecisionTree,Affinity Data Value,all,274946.22426,1065699427399.198,174498.64687923618,0.196946,[0.101 ~ 0.289],-0.003319,GAP
2,DecisionTree,pKd pKi pIC50,all,1.4915438596491228,3.5947547368421056,1.8164060246581109,0.56031,[0.489 ~ 0.624],0.236933,GAP
3,RandomForest,delta G,all,4672.670641235216,22787749.243072465,5.465715140583594,-0.707118,[-0.753 ~ -0.655],-23.07965,GAP
4,RandomForest,Affinity Data Value,all,269831.9848957368,1068533762808.5127,82540.87944256583,0.273897,[0.181 ~ 0.362],-0.005988,GAP
5,RandomForest,pKd pKi pIC50,all,1.2430378947368417,2.4063008391578946,1.1382089119855643,0.730037,[0.681 ~ 0.773],0.489209,GAP
6,XGBoost,delta G,all,4672.807540644389,22789741.155814443,7.333266735076904,-0.575302,[-0.637 ~ -0.506],-23.081755,GAP
7,XGBoost,Affinity Data Value,all,277349.2186609835,1058798148664.9768,104789.3203125,0.294072,[0.202 ~ 0.381],0.003178,GAP
8,XGBoost,pKd pKi pIC50,all,1.328793328904269,2.7674149672236292,1.381179928779602,0.642589,[0.581 ~ 0.697],0.412555,GAP
9,DecisionTree,delta G,ki,4673.602858814768,22797420.42593678,10.406962714834576,-0.414838,[-0.493 ~ -0.331],-23.08987,GAP
10,DecisionTree,Affinity Data Value,ki,272724.1836178947,1079560691840.1663,112557.69762581938,0.206529,[0.111 ~ 0.298],-0.016369,GAP
11,DecisionTree,pKd pKi pIC50,ki,1.6381754385964913,4.317039298245614,1.7977041087978163,0.4687,[0.389 ~ 0.542],0.083612,GAP
12,RandomForest,delta G,ki,4673.969743599141,22800409.86057987,6.105540987890992,-0.676031,[-0.726 ~ -0.619],-23.093028,GAP
13,RandomForest,Affinity Data Value,ki,277713.98055476137,1091908774440.4166,105272.2769464531,0.141792,[0.045 ~ 0.236],-0.027994,GAP
14,RandomForest,pKd pKi pIC50,ki,1.2745028070175437,2.5061718388421057,1.1804565313179909,0.710033,[0.658 ~ 0.755],0.468009,GAP
15,XGBoost,delta G,ki,4673.270947894281,22794821.744707305,8.017574310302734,-0.573576,[-0.636 ~ -0.504],-23.087124,GAP
16,XGBoost,Affinity Data Value,ki,285350.97420384374,1089180215388.2764,125394.8515625,0.136727,[0.04 ~ 0.231],-0.025426,GAP
17,XGBoost,pKd pKi pIC50,ki,1.3384141665341562,2.797301870193828,1.4433616399765015,0.641971,[0.581 ~ 0.696],0.40621,GAP
18,DecisionTree,delta G,kd,4671.22540270636,22774045.208357956,9.456108156863463,-0.39462,[-0.474 ~ -0.309],-23.065169,GAP
19,DecisionTree,Affinity Data Value,kd,282267.7860494736,1083742407940.2817,248957.1159135001,0.148894,[0.052 ~ 0.243],-0.020306,GAP
20,DecisionTree,pKd pKi pIC50,kd,1.7945263157894737,5.083298245614035,1.690909155342781,0.345878,[0.257 ~ 0.429],-0.079043,GAP
