,Modeltype,Scoretype,Datatype,Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),add. information
0,linearRegression,delta G,all,90.49706813414826,4.865903267598976,0.469547,[0.387 ~ 0.545],0.203383,final
1,linearRegression,Affinity Data Value,all,120082675811.13057,65933.59088632239,0.159698,[0.06 ~ 0.257],0.023025,final
2,linearRegression,pKd pKi pIC50,all,2.93094674487938,1.0753083323059336,0.634654,[0.57 ~ 0.691],0.365147,final
3,Ridge,delta G,all,89.89721012079504,4.773336516683311,0.472605,[0.39 ~ 0.548],0.208663,final
4,Ridge,Affinity Data Value,all,120075291069.30074,65686.65911446455,0.159791,[0.06 ~ 0.257],0.023085,final
5,Ridge,pKd pKi pIC50,all,2.9124950382119055,1.0545051030202597,0.637833,[0.574 ~ 0.694],0.369144,final
6,Lasso,delta G,all,88.79021753945429,4.371435023696577,0.478672,[0.397 ~ 0.553],0.218408,final
7,Lasso,Affinity Data Value,all,120144224888.39073,53298.517033791664,0.15404,[0.054 ~ 0.251],0.022525,final
8,Lasso,pKd pKi pIC50,all,2.9672790353046206,0.9544271010615218,0.630986,[0.566 ~ 0.688],0.357277,final
9,ElasticNet,delta G,all,89.55543434674307,4.283990536275699,0.469682,[0.387 ~ 0.545],0.211672,final
10,ElasticNet,Affinity Data Value,all,122867138025.491,3610.6374708057197,0.173341,[0.074 ~ 0.27],0.000371,final
11,ElasticNet,pKd pKi pIC50,all,2.9786513503507996,0.947382891513041,0.628849,[0.564 ~ 0.686],0.354814,final
12,SVR,delta G,all,88.12852594264807,5.060108085864626,0.478208,[0.396 ~ 0.553],0.224232,final
13,SVR,Affinity Data Value,all,126655464055.87338,651.4932359636448,0.136513,[0.036 ~ 0.234],-0.03045,final
14,SVR,pKd pKi pIC50,all,2.865865321831359,1.1530210423193286,0.629271,[0.564 ~ 0.687],0.379244,final
15,DecisionTree,delta G,all,140.41567030464844,9.578462581403826,0.318708,[0.225 ~ 0.407],-0.236035,final
16,DecisionTree,Affinity Data Value,all,203440840319.38336,282526.8336869497,-0.004047,[-0.105 ~ 0.097],-0.655164,final
17,DecisionTree,pKd pKi pIC50,all,5.444632330827067,1.873821922804499,0.333859,[0.241 ~ 0.421],-0.179326,final
18,RandomForest,delta G,all,79.34502982732369,4.503719445349088,0.56961,[0.497 ~ 0.634],0.301551,final
19,RandomForest,Affinity Data Value,all,118630740009.85548,61568.90490372819,0.192527,[0.093 ~ 0.288],0.034838,final
20,RandomForest,pKd pKi pIC50,all,2.6367799641376664,0.9173458138157795,0.717169,[0.664 ~ 0.763],0.428865,final
21,linearRegression,delta G,ki,79.59302255870705,6.371254167325633,0.582767,[0.491 ~ 0.662],0.339097,final
22,linearRegression,Affinity Data Value,ki,170822855423.37155,100811.45189206772,0.123569,[-0.005 ~ 0.248],-0.003246,final
23,linearRegression,pKd pKi pIC50,ki,2.4729917554525285,1.3301537073797964,0.703116,[0.632 ~ 0.763],0.483458,final
24,Ridge,delta G,ki,79.48577923731736,6.301309386221491,0.583746,[0.492 ~ 0.662],0.339988,final
25,Ridge,Affinity Data Value,ki,170583478566.9456,99075.6336268408,0.123154,[-0.005 ~ 0.247],-0.00184,final
26,Ridge,pKd pKi pIC50,ki,2.490404441344326,1.3125755838355309,0.700888,[0.629 ~ 0.761],0.479821,final
27,Lasso,delta G,ki,77.87624594350906,5.638286340621083,0.601402,[0.513 ~ 0.677],0.353353,final
28,Lasso,Affinity Data Value,ki,169100354463.47202,39079.64553199355,0.099649,[-0.029 ~ 0.225],0.00687,final
29,Lasso,pKd pKi pIC50,ki,2.4777151244804143,1.1795763373512735,0.718309,[0.65 ~ 0.775],0.482471,final
30,ElasticNet,delta G,ki,78.37077172712127,5.713449241034595,0.596771,[0.507 ~ 0.673],0.349246,final
31,ElasticNet,Affinity Data Value,ki,170565078102.91626,3498.185484093869,0.17069,[0.044 ~ 0.292],-0.001732,final
32,ElasticNet,pKd pKi pIC50,ki,2.4888388460486,1.191241052886259,0.714376,[0.645 ~ 0.772],0.480148,final
33,SVR,delta G,ki,80.61868850432099,5.740494604045895,0.577825,[0.486 ~ 0.657],0.330581,final
34,SVR,Affinity Data Value,ki,174071563460.33878,543.8983828776,0.166794,[0.04 ~ 0.289],-0.022326,final
35,SVR,pKd pKi pIC50,ki,2.4737395617402953,1.243998420447406,0.718416,[0.65 ~ 0.775],0.483302,final
36,DecisionTree,delta G,ki,149.92228169184392,11.189723824586093,0.388988,[0.275 ~ 0.493],-0.244883,final
37,DecisionTree,Affinity Data Value,ki,186912969337.47528,132984.38510441262,0.016286,[-0.112 ~ 0.144],-0.097744,final
38,DecisionTree,pKd pKi pIC50,ki,3.8771740963855414,1.7426672367985305,0.516766,[0.416 ~ 0.605],0.190162,final
39,RandomForest,delta G,ki,76.3426223184594,4.932668545915754,0.633272,[0.55 ~ 0.704],0.366087,final
40,RandomForest,Affinity Data Value,ki,165646596373.56183,65451.05185390762,0.176477,[0.049 ~ 0.298],0.027154,final
41,RandomForest,pKd pKi pIC50,ki,2.5190727706492644,0.9831313215744784,0.752967,[0.692 ~ 0.804],0.473833,final
42,linearRegression,delta G,kd,510.35072948522793,21.239817784143124,0.072679,[-0.094 ~ 0.235],-4.51658,final
43,linearRegression,Affinity Data Value,kd,53666942242.21069,148186.92451467534,0.202751,[0.039 ~ 0.356],-0.211459,final
44,linearRegression,pKd pKi pIC50,kd,5.880925096846614,1.9353167814529837,0.21221,[0.048 ~ 0.365],-0.565343,final
45,Ridge,delta G,kd,139.6585796853131,7.622565452349651,0.075968,[-0.091 ~ 0.238],-0.509624,final
46,Ridge,Affinity Data Value,kd,42752344655.555244,96594.67396743511,0.267273,[0.107 ~ 0.414],0.034924,final
47,Ridge,pKd pKi pIC50,kd,3.841121692306436,1.1798487148551027,0.285654,[0.126 ~ 0.431],-0.022403,final
48,Lasso,delta G,kd,94.36018037279482,2.7401532488306746,0.108166,[-0.058 ~ 0.269],-0.019976,final
49,Lasso,Affinity Data Value,kd,39714036685.81009,53448.28963588773,0.331167,[0.175 ~ 0.471],0.103509,final
50,Lasso,pKd pKi pIC50,kd,3.1063393846288387,0.6194499056821626,0.431833,[0.287 ~ 0.557],0.173176,final
51,ElasticNet,delta G,kd,97.14550680182542,2.9986992088876634,0.074712,[-0.092 ~ 0.237],-0.050084,final
52,ElasticNet,Affinity Data Value,kd,44122623539.42089,3242.2997634501144,0.226716,[0.064 ~ 0.378],0.003992,final
53,ElasticNet,pKd pKi pIC50,kd,3.1230098230397965,0.6223797457188956,0.424547,[0.279 ~ 0.551],0.168739,final
54,SVR,delta G,kd,93.10976154465827,3.664564871881682,0.181113,[0.016 ~ 0.337],-0.00646,final
55,SVR,Affinity Data Value,kd,48007215808.085526,1064.6706850952949,0.004763,[-0.161 ~ 0.17],-0.083698,final
56,SVR,pKd pKi pIC50,kd,2.7028296475000495,0.9854531774599293,0.531341,[0.401 ~ 0.641],0.28058,final
57,DecisionTree,delta G,kd,144.2098029233507,9.677683769987595,0.222019,[0.059 ~ 0.374],-0.55882,final
58,DecisionTree,Affinity Data Value,kd,83641671065.24019,184662.96249237008,-0.072121,[-0.235 ~ 0.094],-0.888097,final
59,DecisionTree,pKd pKi pIC50,kd,4.667171,1.6373558229380354,0.295761,[0.137 ~ 0.44],-0.242275,final
60,RandomForest,delta G,kd,80.93908054110666,3.1995752646915703,0.354473,[0.201 ~ 0.491],0.125098,final
61,RandomForest,Affinity Data Value,kd,40350501824.32051,46118.12984680563,0.320704,[0.164 ~ 0.462],0.089142,final
62,RandomForest,pKd pKi pIC50,kd,2.499805973995425,0.708384659579575,0.645428,[0.537 ~ 0.733],0.334619,final
