,Modeltype,Scoretype,Datatype,Mean absolute error (mae),Mean squared error (mse),Standard Diviation (SD),Pearson correlation coefficient (r),90% Confidence interval,Coefficient of determination (r²),Spearman correlation coefficient,add. information,Classes,Set,Set size
0,RandomForest,pKd pKi pIC50,all,1.0412218487394957,1.74094845535014,1.1209440683942697,0.603342,[0.545 ~ 0.656],0.364021,0.604233,X-GRADE class1 test,1,test,357
1,RandomForest,pKd pKi pIC50,ki,1.033364705882353,1.731633563977591,1.0944980308738146,0.603558,[0.545 ~ 0.656],0.364282,0.608169,X-GRADE class1 test,1,test,357
2,RandomForest,pKd pKi pIC50,kd,1.0367789915966383,1.748683667366947,1.095969436520803,0.598759,[0.54 ~ 0.652],0.358513,0.601764,X-GRADE class1 test,1,test,357
3,RandomForest,pKd pKi pIC50,all,1.0442549019607843,1.7409107108683475,1.1091503063415031,0.601408,[0.543 ~ 0.654],0.361692,0.591147,GRADE class1 test,1,test,357
4,RandomForest,pKd pKi pIC50,ki,1.0514535014005602,1.7987300488235296,1.0898283053217075,0.584076,[0.524 ~ 0.639],0.341145,0.58336,GRADE class1 test,1,test,357
5,RandomForest,pKd pKi pIC50,kd,1.0299540616246496,1.7324574992156856,1.1082624219601065,0.603671,[0.545 ~ 0.656],0.364418,0.599706,GRADE class1 test,1,test,357
6,RandomForest,pKd pKi pIC50,all,1.061613767735155,1.8224645668470838,1.1033213400496207,0.598502,[0.581 ~ 0.615],0.358205,0.573539,X-GRADE class2 test,2,test,3806
7,RandomForest,pKd pKi pIC50,ki,1.0617688124014713,1.8207758461613244,1.113501406762877,0.599636,[0.582 ~ 0.616],0.359563,0.57477,X-GRADE class2 test,2,test,3806
8,RandomForest,pKd pKi pIC50,kd,1.0618211245401996,1.8232349059905415,1.1047778505410517,0.597954,[0.581 ~ 0.615],0.357549,0.572826,X-GRADE class2 test,2,test,3806
9,RandomForest,pKd pKi pIC50,all,1.0623423541776145,1.8141129559537577,1.104041061437971,0.603338,[0.586 ~ 0.62],0.364017,0.57866,GRADE class2 test,2,test,3806
10,RandomForest,pKd pKi pIC50,ki,1.0669975039411455,1.8275818765869682,1.0901961410556444,0.598623,[0.581 ~ 0.615],0.35835,0.573765,GRADE class2 test,2,test,3806
11,RandomForest,pKd pKi pIC50,kd,1.0627877561744614,1.820015172974251,1.1067642685969457,0.602764,[0.586 ~ 0.619],0.363325,0.57951,GRADE class2 test,2,test,3806
12,RandomForest,pKd pKi pIC50,all,1.2280195889131111,2.4623695730769226,1.249660530347734,0.597019,[0.578 ~ 0.615],0.356432,0.561676,X-GRADE class3 test,3,test,3211
13,RandomForest,pKd pKi pIC50,ki,1.2235646527561506,2.461768497025848,1.241787364800863,0.597001,[0.578 ~ 0.615],0.35641,0.562278,X-GRADE class3 test,3,test,3211
14,RandomForest,pKd pKi pIC50,kd,1.2258952974151354,2.4655503609778884,1.2399130887736323,0.595655,[0.577 ~ 0.614],0.354805,0.560942,X-GRADE class3 test,3,test,3211
15,RandomForest,pKd pKi pIC50,all,1.230752320149486,2.4660380058829023,1.2336431869406588,0.594274,[0.575 ~ 0.613],0.353161,0.55738,GRADE class3 test,3,test,3211
16,RandomForest,pKd pKi pIC50,ki,1.2272833696667704,2.47068876147929,1.2435877005726237,0.593637,[0.575 ~ 0.612],0.352405,0.557126,GRADE class3 test,3,test,3211
17,RandomForest,pKd pKi pIC50,kd,1.2240277795079413,2.4561784905823734,1.2423927828461405,0.59655,[0.578 ~ 0.615],0.355871,0.55986,GRADE class3 test,3,test,3211
18,RandomForest,pKd pKi pIC50,all,1.2548394957983193,2.8225928248459375,1.2505662431398978,0.604005,[0.546 ~ 0.657],0.364822,0.637681,X-GRADE class4 test,4,test,357
19,RandomForest,pKd pKi pIC50,ki,1.2600781512605044,2.805061061372549,1.2493704665541387,0.606855,[0.549 ~ 0.659],0.368274,0.641309,X-GRADE class4 test,4,test,357
20,RandomForest,pKd pKi pIC50,kd,1.2680386554621847,2.855605869635854,1.2459659271753805,0.596114,[0.537 ~ 0.65],0.355352,0.629952,X-GRADE class4 test,4,test,357
21,RandomForest,pKd pKi pIC50,all,1.2889313725490197,2.920291289439777,1.2364115129108302,0.587561,[0.527 ~ 0.642],0.345228,0.620602,GRADE class4 test,4,test,357
22,RandomForest,pKd pKi pIC50,ki,1.3110523809523809,2.963562349159664,1.2411807296812185,0.579775,[0.519 ~ 0.635],0.336139,0.607307,GRADE class4 test,4,test,357
